coordinates;color;speed_limit;current_speed
[(8.9254042, 46.0281038), (8.9256554, 46.0280456), (8.9268044, 46.0277965), (8.9271609, 46.0277222), (8.9275191, 46.0276541), (8.9278737, 46.0275919), (8.9280428, 46.0275651)];green;50;63
[(8.920298, 46.0301285), (8.9201549, 46.0299787), (8.9200422, 46.0298477), (8.9198747, 46.0296229), (8.919859, 46.0295863), (8.9198508, 46.0295522), (8.9198511, 46.0295072), (8.9198562, 46.0294611), (8.9198648, 46.0294237), (8.91988, 46.0293953), (8.9199013, 46.0293767), (8.9199226, 46.0293633), (8.9199611, 46.0293468), (8.920199, 46.0292894)];green;50;63
[(8.9341403, 46.0135614), (8.9340868, 46.0135803), (8.9340543, 46.0135984), (8.9340286, 46.0136185), (8.9339711, 46.01368), (8.9338915, 46.0137844), (8.9336593, 46.014127), (8.9334418, 46.014476), (8.933371, 46.0145912), (8.933172, 46.014903), (8.9330408, 46.0150773), (8.9328973, 46.015287), (8.9328512, 46.0153603), (8.9328196, 46.0154114), (8.9328018, 46.0154278), (8.9327691, 46.0154459), (8.9327106, 46.0154689)];red;50;21
[(8.9187495, 46.0158761), (8.9171549, 46.0162239)];green;60;69
[(8.9171549, 46.0162239), (8.9147911, 46.0167251)];green;60;69
[(8.9159709, 45.9980863), (8.9158421, 45.9983704), (8.915761, 45.9986037), (8.9157007, 45.9987802), (8.9156464, 45.9989687), (8.9156074, 45.9991403), (8.9155771, 45.9992943), (8.9155403, 45.9994899), (8.9155174, 45.9996893), (8.9155018, 45.9999608), (8.9154999, 46.0002806), (8.915514, 46.0005802), (8.9155774, 46.0012344), (8.9155957, 46.0015638), (8.9156054, 46.0019108), (8.9155853, 46.0022396), (8.915556, 46.0024829), (8.9155105, 46.0027533), (8.9154447, 46.0030588), (8.9153207, 46.0035358), (8.9151971, 46.0040355), (8.915122, 46.0043916), (8.9150733, 46.0047081), (8.9150302, 46.0050333), (8.9149947, 46.0054307), (8.9149847, 46.0057164), (8.9149803, 46.0060158), (8.9149911, 46.0064091), (8.9150277, 46.0069094), (8.9150738, 46.0072601), (8.9151054, 46.0075079), (8.915202, 46.0080456), (8.9152945, 46.0084868), (8.9153538, 46.0087525), (8.9154466, 46.0091231), (8.915542, 46.0094672), (8.9156296, 46.0097667), (8.9157145, 46.0100496), (8.9158194, 46.0103675), (8.9159322, 46.0106825), (8.9161605, 46.0112635), (8.9163799, 46.0117834), (8.9185113, 46.0162287), (8.9194384, 46.0181504), (8.9203891, 46.0201029), (8.9207771, 46.0208894), (8.9212422, 46.0217743)];green;120;103
[(8.9304991, 46.0276877), (8.9304345, 46.0276375), (8.9303874, 46.0276108), (8.9303537, 46.0275984), (8.9302881, 46.0275809), (8.930174, 46.027557), (8.9300673, 46.0275385), (8.9299545, 46.0275214), (8.929838, 46.027509), (8.9297249, 46.0275002), (8.9296155, 46.0274945), (8.9294966, 46.0274902), (8.9293858, 46.0274882)];green;50;63
[(8.9396834, 46.0154254), (8.9395086, 46.0155232), (8.9390944, 46.0157342), (8.9385427, 46.0159938), (8.9380314, 46.0162094), (8.9375848, 46.0163839), (8.9372929, 46.0164864), (8.9369931, 46.016585), (8.9365817, 46.0167035), (8.9360602, 46.0168245), (8.9358234, 46.016869), (8.9355642, 46.0169081), (8.9354062, 46.0169303), (8.9352603, 46.0169468), (8.9349514, 46.0169655), (8.9345358, 46.0169867), (8.9342759, 46.017009), (8.9341486, 46.0170247), (8.9339956, 46.0170483), (8.9338743, 46.0170747), (8.9337626, 46.0171041), (8.9336253, 46.0171465), (8.9334922, 46.0171931), (8.9333823, 46.0172427), (8.933261, 46.0173015), (8.9331431, 46.0173691)];red;50;21
[(8.9311721, 46.0277154), (8.9311485, 46.0277353), (8.9311194, 46.0277557), (8.9310928, 46.0277715), (8.9310569, 46.0277873), (8.931023, 46.0278009), (8.9309843, 46.0278135), (8.9309457, 46.0278211), (8.9309106, 46.0278269), (8.9308755, 46.0278292), (8.9308331, 46.0278288), (8.9307999, 46.0278273), (8.9307557, 46.0278212), (8.9307165, 46.0278141), (8.9306824, 46.0278043), (8.9306474, 46.027792), (8.9306127, 46.0277763), (8.9305835, 46.0277606), (8.9305543, 46.0277412), (8.9305338, 46.0277223), (8.930509, 46.0277), (8.9304991, 46.0276877), (8.9304767, 46.0276532), (8.9304637, 46.0276291), (8.9304525, 46.0275995), (8.9304491, 46.0275766), (8.9304477, 46.027546), (8.9304511, 46.0275164), (8.9304639, 46.0274738), (8.9304734, 46.0274538), (8.9304902, 46.0274258), (8.9305073, 46.027405), (8.930532, 46.0273804), (8.9305541, 46.0273616), (8.9305877, 46.0273399), (8.9306132, 46.0273255), (8.9306467, 46.0273093), (8.9306752, 46.0272993), (8.9307175, 46.0272868), (8.9307487, 46.0272799), (8.9307918, 46.0272742), (8.93083, 46.0272732), (8.9308692, 46.0272738), (8.930904, 46.027276), (8.9309439, 46.0272803), (8.9309767, 46.027287), (8.9310204, 46.0272989), (8.9310491, 46.0273088), (8.931086, 46.0273263), (8.9311142, 46.0273426), (8.9311436, 46.0273626), (8.9311664, 46.0273839), (8.9311915, 46.0274085), (8.9312068, 46.0274291), (8.9312253, 46.0274596), (8.9312348, 46.0274809), (8.9312441, 46.0275077), (8.9312476, 46.0275335), (8.9312474, 46.0275631), (8.9312461, 46.0275874), (8.9312371, 46.0276144), (8.9312266, 46.0276405), (8.9312104, 46.027667), (8.9311931, 46.0276908), (8.9311721, 46.0277154)];green;60;63
[(8.9324628, 46.0159508), (8.9326194, 46.015454), (8.932704, 46.015257)];red;80;21
[(8.9285156, 46.0275815), (8.9283028, 46.0276094)];green;50;63
[(8.9234891, 46.0285919), (8.9227987, 46.0287505), (8.922228, 46.0288776)];green;50;63
[(8.9334754, 46.0158635), (8.9339018, 46.0160861), (8.9343594, 46.0163296)];red;50;21
[(8.9240507, 46.0154041), (8.9235428, 46.0153035), (8.9233718, 46.0152722), (8.9228099, 46.015226), (8.9222345, 46.0152286), (8.9218612, 46.0152586), (8.9212669, 46.0153477), (8.9187495, 46.0158761)];red;80;21
[(8.9219867, 46.0289313), (8.9205374, 46.0292619), (8.920095, 46.029372), (8.9199353, 46.0294181), (8.9198979, 46.029423), (8.9198648, 46.0294237), (8.919829, 46.0294185), (8.9197991, 46.029412), (8.9197719, 46.0294034), (8.9197441, 46.0293925), (8.9197163, 46.0293752), (8.9196908, 46.0293522), (8.9192913, 46.028792)];green;50;63
[(8.9222026, 46.0288332), (8.9234699, 46.0285443)];green;50;63
[(8.9246674, 46.0155686), (8.9243335, 46.0154735), (8.9241863, 46.0154335), (8.9240507, 46.0154041)];red;80;21
[(8.9223209, 46.0316171), (8.9223835, 46.031696), (8.9226315, 46.0319976)];green;50;63
[(8.9220665, 46.0315245), (8.9220786, 46.0314882), (8.9221075, 46.0314568), (8.9221498, 46.0314339), (8.9222008, 46.0314222), (8.9222545, 46.031423), (8.9223046, 46.0314363), (8.9223454, 46.0314605), (8.9223711, 46.0314906), (8.9223817, 46.0315248), (8.9223763, 46.0315596), (8.9223553, 46.0315915), (8.9223209, 46.0316171), (8.9222775, 46.0316337), (8.9222288, 46.0316401), (8.9221797, 46.0316357), (8.9221349, 46.0316209), (8.9220964, 46.0315949), (8.9220727, 46.0315615), (8.922068, 46.0315407), (8.9220665, 46.0315245)];green;50;63
[(8.9325694, 46.015737), (8.9324023, 46.0159507), (8.9322002, 46.0161956), (8.9319968, 46.0164304), (8.9317604, 46.0166873)];red;60;21
[(8.9351698, 46.0319065), (8.9350562, 46.0320046), (8.9349561, 46.0321034), (8.9349061, 46.0321581), (8.9348546, 46.0322206), (8.9347966, 46.0323055), (8.9347443, 46.0324001), (8.9347046, 46.032493), (8.9346768, 46.0325852), (8.9346596, 46.0326637), (8.9346495, 46.0327463), (8.9346431, 46.0328304), (8.9346467, 46.0329345), (8.9346608, 46.0330551), (8.9347121, 46.0333075), (8.9348249, 46.0337072), (8.9348606, 46.0340109), (8.9348727, 46.0341456), (8.934877, 46.0342377), (8.9348762, 46.0343255), (8.9348714, 46.0343982), (8.9348601, 46.0344955), (8.9348423, 46.0346231), (8.9348126, 46.0347204), (8.9347867, 46.0347889), (8.9346087, 46.0352206)];green;50;63
[(8.9142084, 46.0189309), (8.9144469, 46.0194121), (8.9146116, 46.0197443), (8.9147368, 46.019997), (8.9150652, 46.0206635), (8.9157613, 46.0220309), (8.9162148, 46.0228554), (8.9164923, 46.0233912), (8.9167158, 46.0238211), (8.916889, 46.0241986), (8.9170476, 46.0245786), (8.9173112, 46.0252098), (8.9175072, 46.0256787), (8.9176629, 46.0260272), (8.9178517, 46.0263971), (8.9179002, 46.026487), (8.9179481, 46.0265686), (8.9183292, 46.0271802), (8.9185968, 46.0275869)];green;50;69
[(8.928222, 46.0191318), (8.9281306, 46.0190951), (8.9280507, 46.0190559), (8.9279709, 46.0190105), (8.9278921, 46.018956), (8.9278214, 46.0189032), (8.9277498, 46.018843), (8.9276593, 46.0187593), (8.9275756, 46.0186709), (8.927498, 46.0185893), (8.9274166, 46.0184869), (8.9273463, 46.0183882), (8.9272917, 46.0182963), (8.9272321, 46.0181858), (8.9271347, 46.017996)];red;60;21
[(8.9147911, 46.0167251), (8.9146983, 46.0167447)];green;80;69
