coordinates;color;speed_limit;current_speed
[(8.9307487, 46.0272799), (8.9309043, 46.0272432), (8.9309461, 46.0272312), (8.9309849, 46.0272175), (8.9310214, 46.0271994), (8.9310778, 46.0271701), (8.931115, 46.0271477), (8.9311642, 46.027116), (8.9312502, 46.027062), (8.9313405, 46.0270048), (8.9314342, 46.0269507), (8.9315311, 46.0269014), (8.9316943, 46.0268267), (8.932195, 46.0266205), (8.932502, 46.0264847), (8.9326807, 46.0263899), (8.9328261, 46.0263029), (8.9330115, 46.0261751), (8.933108, 46.0260966), (8.9332207, 46.0259925), (8.9333354, 46.025878), (8.933433, 46.0257589), (8.9335258, 46.0256305), (8.933609, 46.0254995), (8.933659, 46.0253947), (8.9337164, 46.0252605), (8.9337489, 46.0251683), (8.9337766, 46.025064), (8.9338276, 46.0248615), (8.933868, 46.0246272), (8.9339016, 46.0243832), (8.9339237, 46.0240831), (8.9339222, 46.0238082), (8.9339077, 46.0235484), (8.9338715, 46.0232884), (8.9338317, 46.0230684), (8.9337596, 46.0227825), (8.9336616, 46.0224717), (8.9335085, 46.0220741), (8.9334201, 46.0218624), (8.9333329, 46.0216698), (8.932921, 46.0207924), (8.9326372, 46.0201702), (8.9325172, 46.0198692), (8.9324182, 46.019584), (8.9323384, 46.0193202), (8.9322713, 46.0190427), (8.9322266, 46.0187749), (8.9321978, 46.0185229), (8.9321816, 46.0182455), (8.9321758, 46.0179676), (8.9321793, 46.0177318), (8.9321972, 46.0174161), (8.9322322, 46.0170595), (8.9322833, 46.0167334), (8.9323637, 46.0163451), (8.9324628, 46.0159508)];orange;80;63
[(8.9339598, 46.0231262), (8.934019, 46.0235189), (8.9340368, 46.0237926), (8.9340383, 46.0240857), (8.9340138, 46.0244184), (8.9339901, 46.0245914), (8.93396, 46.024762), (8.9339041, 46.0249923), (8.9338355, 46.0252192), (8.9337777, 46.0253651), (8.9337135, 46.0255029), (8.9336477, 46.0256133), (8.9335732, 46.0257249), (8.9334774, 46.0258511), (8.9333931, 46.0259447), (8.9332897, 46.0260465), (8.9331744, 46.0261516), (8.9330508, 46.0262455), (8.9329975, 46.0262827), (8.9328832, 46.0263592), (8.9327365, 46.0264494), (8.9325688, 46.0265368), (8.9324256, 46.0266052), (8.9322089, 46.0266966), (8.9317003, 46.0269084), (8.9315306, 46.0269871), (8.931435, 46.0270395), (8.9313404, 46.0270993), (8.9312898, 46.027136), (8.9312661, 46.027157), (8.9312462, 46.027181), (8.9312304, 46.027205), (8.9312172, 46.0272302), (8.9312004, 46.0272819), (8.9311955, 46.0273154), (8.9311931, 46.0273463), (8.9311951, 46.027383), (8.9311977, 46.0274062), (8.9312068, 46.0274291)];green;60;63
[(8.9331023, 46.0281389), (8.9355663, 46.0287387), (8.9418252, 46.029844), (8.9467868, 46.0305892), (8.9572588, 46.032277), (8.9597774, 46.0324565), (8.9625241, 46.0322989), (8.9629729, 46.0322448), (8.9633588, 46.0321847), (8.9636242, 46.032138), (8.9638808, 46.0320859), (8.9643333, 46.0319546), (8.9649073, 46.03176), (8.9657235, 46.0314389), (8.9660336, 46.031279), (8.966278, 46.0311193), (8.9665266, 46.0309392), (8.9667149, 46.0308054)];orange;80;63
[(8.9283028, 46.0276094), (8.9280713, 46.027641)];green;50;63
[(8.9280713, 46.027641), (8.9276391, 46.027704), (8.927408, 46.0277403), (8.9271168, 46.0277879), (8.9268907, 46.0278306), (8.9266703, 46.0278769), (8.9262688, 46.0279635), (8.9254248, 46.0281474)];green;50;63
[(8.9286202, 46.0274707), (8.9288464, 46.0274479), (8.929074, 46.0274282), (8.9292969, 46.0274148), (8.9295266, 46.0274059), (8.9297539, 46.0274014), (8.9299816, 46.0274026), (8.9303099, 46.027407), (8.9303967, 46.0274038), (8.93044, 46.0273997), (8.9304796, 46.0273903), (8.9305171, 46.0273783), (8.9305541, 46.0273616)];green;50;63
[(8.920199, 46.0292894), (8.921957, 46.0288891)];green;50;63
[(8.9312253, 46.0274596), (8.9312526, 46.0274987), (8.9312737, 46.0275233), (8.931299, 46.0275436), (8.9313431, 46.0275714), (8.9314015, 46.0276036), (8.9314637, 46.0276318), (8.9315601, 46.0276726), (8.9316828, 46.0277183), (8.9317713, 46.0277499), (8.931963, 46.0278198), (8.9321563, 46.0278774), (8.9321774, 46.0278828), (8.9323777, 46.0279336)];orange;80;63
[(8.9323777, 46.0279336), (8.9328959, 46.0280684), (8.9331023, 46.0281389)];orange;80;63
[(8.931023, 46.0278009), (8.9311625, 46.0277627), (8.9312041, 46.027758), (8.931238, 46.0277561), (8.9312782, 46.027759), (8.9313553, 46.0277672), (8.9314712, 46.0277819), (8.931578, 46.0277971), (8.9316724, 46.0278136), (8.9316908, 46.0278168), (8.9318023, 46.0278393)];green;50;63
[(8.9331023, 46.0281389), (8.9328531, 46.0280961), (8.9326521, 46.0280428)];green;50;63
[(8.9318023, 46.0278393), (8.9321751, 46.0279234), (8.9326521, 46.0280428)];green;50;63
[(8.9293858, 46.0274882), (8.9292656, 46.0274901), (8.9290855, 46.0275008), (8.9289276, 46.0275189), (8.9285156, 46.0275815)];green;50;63
[(8.9283484, 46.0405958), (8.9284293, 46.0404524), (8.9285066, 46.0403068), (8.9285854, 46.0401536), (8.9286555, 46.0399998), (8.9287202, 46.0398495), (8.928786, 46.0396861), (8.9288384, 46.0395412), (8.928892, 46.0393807), (8.9289385, 46.0392269), (8.928982, 46.0390659), (8.9290194, 46.0389139), (8.9290546, 46.0387502), (8.9290823, 46.0386019), (8.9291082, 46.0384428), (8.9291317, 46.0382792), (8.929148, 46.0381234), (8.9291615, 46.0379596), (8.9291707, 46.0378033), (8.929176, 46.0376489), (8.9291767, 46.0374896), (8.9291753, 46.0373267), (8.9291694, 46.0371668), (8.9291598, 46.0370065), (8.9291469, 46.0368464), (8.92913, 46.0366878), (8.9291092, 46.0365215), (8.929085, 46.0363625), (8.9290567, 46.0361942), (8.929027, 46.0360394), (8.9289964, 46.0358914), (8.9289614, 46.0357386), (8.9289203, 46.0355741), (8.9288805, 46.0354258), (8.9288342, 46.0352638), (8.9287903, 46.0351186), (8.9287358, 46.034949), (8.9286592, 46.034723), (8.9285739, 46.0344928), (8.9285135, 46.034337), (8.928455, 46.0341918), (8.9283908, 46.0340384), (8.9283247, 46.0338872), (8.9282541, 46.0337294), (8.9281873, 46.0335855), (8.9281166, 46.0334364), (8.9280349, 46.0332706), (8.9279522, 46.0331052), (8.9278318, 46.0328737), (8.9277268, 46.03268), (8.9276461, 46.0325315), (8.9275539, 46.0323693), (8.9274677, 46.032217), (8.9272846, 46.031907), (8.9271194, 46.0316346), (8.9267524, 46.0310458), (8.9262824, 46.0303289), (8.9248188, 46.0281368), (8.9244044, 46.0274955), (8.923994, 46.0268469), (8.9232681, 46.025662), (8.9228646, 46.024986), (8.9224779, 46.0243165)];green;120;111
[(8.9215698, 46.0226884), (8.9212085, 46.022016), (8.9206539, 46.0209327), (8.9183879, 46.0162492), (8.9162423, 46.0118231), (8.9159263, 46.0110788), (8.9156782, 46.0104064), (8.9155898, 46.0101422), (8.9155066, 46.0098669), (8.9153202, 46.0092376), (8.9152101, 46.0087999), (8.9151132, 46.008353), (8.915045, 46.0080297), (8.9149504, 46.0074877), (8.914872, 46.0068985), (8.9148405, 46.0064438), (8.9148236, 46.0060228), (8.914828, 46.0057436), (8.9148395, 46.0054318), (8.9148733, 46.0050073), (8.9149152, 46.0046866), (8.9149808, 46.0042776), (8.9150344, 46.0040258), (8.9151607, 46.003497), (8.9152585, 46.0031175), (8.9153335, 46.002792), (8.9153899, 46.0024549), (8.9154135, 46.0022721), (8.9154314, 46.0018964), (8.9154256, 46.001597), (8.9154008, 46.0012752), (8.9153505, 46.0007985), (8.9153238, 46.000462), (8.9153103, 46.0001163), (8.9153179, 45.9999198), (8.9153301, 45.9997123)];orange;120;63
[(8.9224779, 46.0243165), (8.9223116, 46.0240301), (8.9219036, 46.0233049)];orange;120;63
[(8.9314475, 46.0170478), (8.9312962, 46.0172214)];red;60;21
[(8.9219036, 46.0233049), (8.9215698, 46.0226884)];orange;120;63
[(8.9212422, 46.0217743), (8.921402, 46.0220742), (8.9214934, 46.0222457)];orange;120;63
[(8.9214934, 46.0222457), (8.921813, 46.0228381), (8.9219807, 46.0231347), (8.9222782, 46.0236792), (8.922577, 46.0242054), (8.9227625, 46.0245271), (8.9228448, 46.0246687), (8.9230967, 46.0250967), (8.9232821, 46.0254085), (8.9235516, 46.0258564), (8.9238299, 46.0263121), (8.9240047, 46.0265951), (8.9241578, 46.02684), (8.9244656, 46.0273253), (8.9245953, 46.0275306), (8.9248849, 46.0279788), (8.9250813, 46.0282795), (8.925277, 46.0285754), (8.9254667, 46.0288614), (8.925698, 46.0292066), (8.9258565, 46.0294421), (8.9260205, 46.0296875), (8.926183, 46.0299298), (8.926453, 46.0303354), (8.9266783, 46.0306767), (8.9269173, 46.0310486), (8.9270748, 46.0312965), (8.9272278, 46.0315426), (8.9274095, 46.0318396), (8.9275325, 46.0320494), (8.9276738, 46.0322941), (8.9278192, 46.0325544), (8.9279747, 46.0328423), (8.9280886, 46.0330609), (8.9282147, 46.0333114), (8.9283359, 46.033565), (8.9285128, 46.0339565), (8.9286175, 46.0342085), (8.9287238, 46.0344783), (8.9288215, 46.0347455), (8.9288982, 46.0349727), (8.9290251, 46.0353941), (8.9291382, 46.035833), (8.9291834, 46.0360573), (8.9292297, 46.0363166), (8.929252, 46.036456), (8.9292696, 46.0365876), (8.9292861, 46.036727), (8.9292994, 46.0368578), (8.9293105, 46.0370035), (8.9293185, 46.0371376), (8.9293242, 46.037275), (8.9293268, 46.0374051), (8.9293267, 46.0375445), (8.9293208, 46.0378189)];orange;120;63
[(8.9331431, 46.0173691), (8.9330274, 46.0174464), (8.9329619, 46.0174967), (8.9328873, 46.0175572), (8.9327997, 46.0176409), (8.9327466, 46.0176955), (8.9326864, 46.0177649), (8.9326152, 46.017864), (8.9325796, 46.0179207), (8.9325438, 46.0179846), (8.9325065, 46.018064), (8.9324786, 46.0181413), (8.9324537, 46.0182229), (8.9324374, 46.0182908), (8.9324258, 46.0183778)];red;50;21
[(8.9324258, 46.0183778), (8.9324154, 46.0185449), (8.9324209, 46.0186796), (8.9324357, 46.0188295), (8.932453, 46.0189641), (8.9325013, 46.0192483), (8.9325597, 46.019517), (8.9326353, 46.0197969), (8.9327261, 46.0200634), (8.9328309, 46.0203364), (8.9329554, 46.0206127), (8.9334417, 46.0216424), (8.9335572, 46.0219049), (8.9336622, 46.0221598), (8.9337729, 46.0224563), (8.9338839, 46.0228192), (8.9339598, 46.0231262)];red;50;21
[(8.9271347, 46.017996), (8.9268462, 46.0173546), (8.9267789, 46.0172223), (8.9266983, 46.0170924), (8.9265829, 46.0169265), (8.9264664, 46.0167754), (8.926363, 46.0166608), (8.9262088, 46.0165061), (8.9260964, 46.0164005), (8.9259436, 46.0162772), (8.9257487, 46.0161355), (8.9256254, 46.0160546)];red;80;21
[(8.9245113, 46.0283093), (8.9254042, 46.0281038)];green;50;63
[(8.9254248, 46.0281474), (8.9245285, 46.0283524)];green;50;63
[(8.9245285, 46.0283524), (8.9242087, 46.0284261)];green;50;63
[(8.9241879, 46.0283831), (8.9245113, 46.0283093)];green;50;63
[(8.9234699, 46.0285443), (8.9240735, 46.0284092)];green;50;63
[(8.9242087, 46.0284261), (8.9237784, 46.0285251), (8.9234891, 46.0285919)];green;50;63
[(8.922228, 46.0288776), (8.9219867, 46.0289313)];green;50;63
[(8.921957, 46.0288891), (8.9222026, 46.0288332)];green;50;63
[(8.9185968, 46.0275869), (8.9190825, 46.0282929)];green;50;63
[(8.9190825, 46.0282929), (8.9192793, 46.0285392)];green;50;63
[(8.9192793, 46.0285392), (8.9193841, 46.0287458), (8.9197061, 46.0292005), (8.9198648, 46.0294237), (8.9199445, 46.0295355), (8.9200536, 46.0296811), (8.9201198, 46.0297695), (8.920218, 46.0298881), (8.9203702, 46.0300516), (8.920502, 46.030171), (8.9207329, 46.0303558), (8.9209776, 46.0305472), (8.9212854, 46.0307873), (8.9215373, 46.0309787), (8.9220629, 46.0313789), (8.9220987, 46.031401), (8.9221306, 46.0314156), (8.9221578, 46.031421), (8.9222008, 46.0314222)];green;50;63
[(8.922068, 46.0315407), (8.9220528, 46.0315042), (8.9220411, 46.031488), (8.9220178, 46.0314658), (8.9219692, 46.0314295), (8.9211808, 46.0308298), (8.9209694, 46.0306731), (8.92067, 46.0304371), (8.9205173, 46.0303196), (8.9204054, 46.0302276), (8.920298, 46.0301285)];green;50;63
[(8.9239659, 46.0349982), (8.924003, 46.0351557), (8.9240306, 46.0352483), (8.9240655, 46.0353396)];green;50;63
[(8.9226315, 46.0319976), (8.9228441, 46.0322561)];green;50;63
[(8.9228441, 46.0322561), (8.9230883, 46.0325637), (8.9232094, 46.0327163), (8.9233547, 46.0329539), (8.9234086, 46.0330421), (8.9235097, 46.033287), (8.9235734, 46.0334583), (8.9235789, 46.033473), (8.9236259, 46.0336255), (8.9236622, 46.0337598), (8.9237104, 46.033938), (8.9237467, 46.0340787), (8.9237519, 46.034099), (8.9237764, 46.0341938), (8.923816, 46.034362), (8.9239633, 46.0349873), (8.9239659, 46.0349982)];green;50;63
[(8.928279, 46.0275301), (8.9286202, 46.0274707)];green;50;63
[(8.9280428, 46.0275651), (8.928279, 46.0275301)];green;50;63
[(8.9240735, 46.0284092), (8.9241879, 46.0283831)];green;50;63
[(8.9346087, 46.0352206), (8.9345706, 46.0353078)];green;50;111
[(8.9192913, 46.028792), (8.9190825, 46.0282929)];green;50;63
[(8.9327106, 46.0154689), (8.9327565, 46.0154724), (8.9327917, 46.0154793), (8.9328444, 46.0155015), (8.9329313, 46.0155521), (8.9329861, 46.0155859), (8.9330968, 46.0156541), (8.9332489, 46.0157452)];red;50;21
[(8.9317604, 46.0166873), (8.9316693, 46.0167975), (8.9314475, 46.0170478)];red;60;21
[(8.9311739, 46.0173669), (8.9307, 46.0179628), (8.9302702, 46.0185712), (8.9301899, 46.0186769), (8.9301166, 46.0187625), (8.930051, 46.0188343), (8.9299793, 46.0188967), (8.9298995, 46.0189565), (8.9297985, 46.0190199), (8.9297009, 46.0190708), (8.9295937, 46.0191187), (8.9294606, 46.0191653), (8.9293801, 46.019188), (8.9292481, 46.0192177), (8.9290905, 46.0192413), (8.9290005, 46.0192514), (8.9288956, 46.019253), (8.9287666, 46.0192488), (8.9286451, 46.0192366), (8.9285455, 46.0192206), (8.9284308, 46.0191958), (8.9283197, 46.0191656), (8.928222, 46.0191318)];red;60;21
[(8.9312962, 46.0172214), (8.9311739, 46.0173669)];red;60;21
[(8.9256254, 46.0160546), (8.9253932, 46.0159192), (8.9252461, 46.0158393), (8.9250511, 46.0157458), (8.9246674, 46.0155686)];red;80;21
[(8.9327106, 46.0154689), (8.9327136, 46.0155075), (8.9327115, 46.0155333), (8.9327001, 46.0155608), (8.9326176, 46.0156755), (8.9325694, 46.015737)];red;60;21
[(8.9317604, 46.0166873), (8.932125, 46.016216), (8.9325464, 46.0156246), (8.9326073, 46.0155444), (8.9326401, 46.0155084), (8.9327106, 46.0154689)];red;60;21
[(8.9332489, 46.0157452), (8.9328132, 46.015549), (8.9327737, 46.0155302), (8.9327413, 46.0155068), (8.9327106, 46.0154689)];red;50;21
[(8.9332489, 46.0157452), (8.9334754, 46.0158635)];red;50;21
[(8.9343594, 46.0163296), (8.9347611, 46.0165771), (8.9351348, 46.0168277)];red;50;21
[(8.9327106, 46.0154689), (8.9327103, 46.015433), (8.9327127, 46.0154064), (8.9327218, 46.0153822), (8.9327862, 46.0152932), (8.9337972, 46.0137697), (8.933851, 46.0137061), (8.9339458, 46.0135686), (8.9339653, 46.0135197), (8.9339633, 46.0134973)];red;50;21
[(8.9252836, 46.0429102), (8.9263215, 46.0436284)];green;50;111
[(8.9263215, 46.0436284), (8.9268024, 46.0439479)];green;50;111
[(8.9268598, 46.044115), (8.9265919, 46.044508), (8.9261974, 46.0450308), (8.9260746, 46.0451941), (8.9260189, 46.0452725), (8.9258983, 46.0454385), (8.9257573, 46.0456433), (8.925663, 46.0458039), (8.9256399, 46.0458465), (8.9255911, 46.0459367), (8.9254519, 46.0462328)];green;50;111
[(8.9269737, 46.0439135), (8.9270157, 46.0439287), (8.9270492, 46.0439518), (8.9270724, 46.0439834), (8.9270796, 46.0440185), (8.9270702, 46.0440533), (8.9270451, 46.0440841), (8.9270071, 46.0441077), (8.9269601, 46.0441214), (8.9269092, 46.044124), (8.9268598, 46.044115), (8.92682, 46.0440971), (8.9267897, 46.0440718), (8.9267718, 46.0440413), (8.926768, 46.0440085), (8.9267785, 46.0439764), (8.9268024, 46.0439479), (8.9268374, 46.0439259), (8.9268803, 46.0439121), (8.9269272, 46.0439078), (8.9269737, 46.0439135)];green;50;111
[(8.9270492, 46.0439518), (8.9271279, 46.0439106), (8.9273121, 46.0438198), (8.9276025, 46.0436837), (8.9277567, 46.0436173), (8.9281153, 46.0434762), (8.9284973, 46.0433243), (8.9286919, 46.0432441), (8.9289462, 46.0431381), (8.9290561, 46.0430881), (8.9291169, 46.0430566), (8.929147, 46.043041), (8.9292315, 46.0429923), (8.9293362, 46.0429271), (8.9294234, 46.0428694), (8.9295017, 46.0428119), (8.9295706, 46.0427548), (8.9296509, 46.042679), (8.9297312, 46.0426001), (8.9298133, 46.042506), (8.9298932, 46.0424016), (8.9299864, 46.0422614), (8.9302607, 46.0418577), (8.9303662, 46.0417003), (8.9314522, 46.040089), (8.9316576, 46.0397799), (8.9318142, 46.0395346), (8.9319264, 46.0393347), (8.9319905, 46.0392299)];green;50;111
[(8.9303343, 46.0559221), (8.930369, 46.0560277), (8.9303953, 46.0561035), (8.9305242, 46.0565471), (8.9307274, 46.0572333), (8.9309318, 46.0578587), (8.9310338, 46.0581765)];green;50;51
[(8.9258996, 46.0471816), (8.9259279, 46.0472206), (8.9259525, 46.0472667), (8.9259672, 46.0473087), (8.9259778, 46.0473677), (8.9259835, 46.0474759), (8.9260038, 46.0479607), (8.9260194, 46.0480661), (8.9260383, 46.0481355), (8.9260618, 46.0482049), (8.9260974, 46.048298), (8.9261627, 46.048422), (8.9263799, 46.0487707), (8.9265459, 46.0490264), (8.9294806, 46.0537186), (8.92958, 46.0538894), (8.9296465, 46.0540039), (8.9297256, 46.0541658), (8.9298061, 46.0543594), (8.9299053, 46.0546246), (8.9301226, 46.0552894), (8.9302577, 46.0556837)];green;60;111
