coordinates;color;speed_limit;current_speed
[(8.6818089, 45.9627171), (8.6822101, 45.9627341), (8.6824814, 45.962697), (8.6827397, 45.9626234), (8.6828977, 45.9625781), (8.6829246, 45.9625727), (8.6833255, 45.9624926), (8.6835119, 45.9624576), (8.6837236, 45.9624351), (8.6840119, 45.9624571), (8.6841868, 45.9624822), (8.6842732, 45.9624946), (8.6844561, 45.9625209), (8.6846136, 45.9625553)];green;30;55.0
[(8.679038, 45.9609606), (8.6791121, 45.9609645)];green;50;55.0
[(8.6755749, 45.9605419), (8.6756527, 45.9605933), (8.675725, 45.9606279), (8.6758434, 45.9606774), (8.6760184, 45.9607176), (8.6762298, 45.9607545), (8.6765096, 45.9607869), (8.6773837, 45.9608401), (8.6784112, 45.9609111), (8.6788872, 45.9609543), (8.679038, 45.9609606)];green;50;55.0
[(8.6795794, 45.9610282), (8.6797052, 45.9610696), (8.679941, 45.9611736), (8.680143, 45.9613088), (8.6803075, 45.9614696), (8.6803974, 45.9615969), (8.68043, 45.9616595), (8.6805885, 45.9620134), (8.6806343, 45.9620957), (8.680729, 45.9622087), (8.6808167, 45.9622934), (8.6809979, 45.9624171), (8.6810216, 45.962431), (8.6812688, 45.9625336), (8.6815126, 45.9626172), (8.6815762, 45.9626385), (8.6818089, 45.9627171)];green;50;54.0
[(8.7565953, 45.9968795), (8.7567248, 45.9969635), (8.7567853, 45.9970027), (8.757013, 45.997206), (8.7571999, 45.9974271), (8.7572939, 45.997558), (8.7573672, 45.9976874), (8.7574166, 45.9978129), (8.7574265, 45.9978972), (8.7574246, 45.9979526), (8.7574044, 45.9980381), (8.7572337, 45.9984348), (8.757207, 45.9985234), (8.757198, 45.9986356), (8.7572507, 45.9990273), (8.7573319, 45.9994158), (8.7573462, 45.9995063), (8.7573541, 45.9995562), (8.7573541, 45.9996915), (8.7573202, 45.9998415), (8.7572656, 45.9999758), (8.7571757, 46.0001061), (8.756859, 46.0006092), (8.756787, 46.0008463), (8.7567549, 46.0010865), (8.7568183, 46.0013217), (8.7568858, 46.0014707), (8.7569962, 46.0016602), (8.7571257, 46.0018168), (8.757227, 46.0018978), (8.757286, 46.0019418), (8.7578861, 46.0023952), (8.7579437, 46.0024296), (8.7586314, 46.0028985), (8.7588379, 46.0030392), (8.7592103, 46.0032931), (8.7592332, 46.0033083), (8.7592868, 46.0033437), (8.759768, 46.003662), (8.7597955, 46.0036802)];green;50;38.0
[(8.7548522, 45.9948175), (8.7545983, 45.9948951), (8.7544628, 45.9949531), (8.7543273, 45.9950006), (8.7540718, 45.9951097), (8.7535735, 45.9954387)];green;50;26.0
[(8.7414379, 45.9811127), (8.741541, 45.9811205), (8.7415919, 45.9811344), (8.741675, 45.9811775), (8.7417182, 45.9812185), (8.7417523, 45.9812865), (8.7417557, 45.9813313), (8.741732, 45.9814014), (8.7417029, 45.9814379), (8.7416299, 45.9814891), (8.7415674, 45.9815125), (8.7414232, 45.9815257), (8.7413018, 45.9814965), (8.7412241, 45.9814488), (8.7411763, 45.9813889), (8.7411592, 45.9813178), (8.7411791, 45.9812452), (8.7412325, 45.9811835), (8.741287, 45.9811495), (8.7413811, 45.9811192), (8.7414379, 45.9811127)];green;50;55.0
[(8.7413018, 45.9814965), (8.7412808, 45.9815226), (8.7411007, 45.9817469), (8.740848, 45.9819541), (8.7403344, 45.9822665), (8.7402311, 45.9823293), (8.7396374, 45.9826904), (8.7394454, 45.9828653), (8.7393223, 45.9830234), (8.7392144, 45.9832055), (8.73899, 45.9836671), (8.7386729, 45.984076), (8.7384377, 45.9843714), (8.7382065, 45.9847974), (8.737784, 45.9855124), (8.7375208, 45.9859064), (8.737326, 45.9861901), (8.7372655, 45.986336), (8.7372098, 45.9865018), (8.7371611, 45.9866559), (8.737122, 45.98682), (8.737068, 45.9870431), (8.7370045, 45.9872696), (8.7368396, 45.9877224), (8.7365834, 45.9884295), (8.7365213, 45.988605), (8.7364449, 45.988774), (8.7363767, 45.9888857), (8.7362943, 45.9889975), (8.7360896, 45.989223), (8.7354583, 45.9899189), (8.73535, 45.9900382)];green;50;55.0
[(8.7414379, 45.9811127), (8.7414594, 45.981062), (8.741507, 45.9809497), (8.7415439, 45.9807941), (8.7415452, 45.9806191), (8.7415626, 45.9804328), (8.7415807, 45.9803415), (8.741702, 45.9799476), (8.7421185, 45.9790306), (8.7427, 45.9783836), (8.7432322, 45.9777823), (8.7437949, 45.9770417), (8.7443931, 45.9764408), (8.7450912, 45.9758295), (8.7457379, 45.9752008), (8.7461652, 45.9745189), (8.746494, 45.9740542), (8.7470801, 45.9734732), (8.7479427, 45.9723765), (8.7482015, 45.9717261), (8.7483078, 45.9710621), (8.7484789, 45.9707482), (8.7488186, 45.9701247), (8.7488433, 45.9700793), (8.7489097, 45.9699575), (8.7491366, 45.969602), (8.7494488, 45.9691131), (8.7501109, 45.968177), (8.7506993, 45.9673764)];green;50;55.0
[(8.740101, 45.9987773), (8.7399349, 45.9986715), (8.7390809, 45.9982041), (8.7385547, 45.9979007), (8.7382052, 45.9977025), (8.7380829, 45.9976345), (8.7379351, 45.9975817), (8.737848, 45.9975534), (8.7377601, 45.9975261), (8.7377162, 45.9975126), (8.7376759, 45.997501), (8.7376582, 45.9974956), (8.7374707, 45.9974393), (8.737414, 45.9974233)];green;50;44.0
[(8.7411632, 46.0016584), (8.7412107, 46.0015845), (8.7412269, 46.0015458), (8.7412377, 46.0015087), (8.7412484, 46.0014807), (8.7412612, 46.0014542), (8.741288, 46.0013997), (8.741232, 46.0012666), (8.7412264, 46.0012543), (8.7410588, 46.0009144), (8.7410145, 46.0008338), (8.7409894, 46.000781), (8.7408464, 46.0005185), (8.7408584, 46.0004767), (8.7404848, 45.9997841), (8.7401393, 45.9991075), (8.7401018, 45.9990289)];green;50;23.0
