coordinates;color;speed_limit;current_speed
[(8.9839079, 45.8767762), (8.9839745, 45.8768138), (8.9840546, 45.8768977), (8.9840797, 45.8769441), (8.9840881, 45.8769809), (8.9840912, 45.8770319), (8.984083, 45.8770901), (8.984069, 45.8771347), (8.9840443, 45.877181), (8.9840088, 45.8772275), (8.9839694, 45.8772641), (8.9839048, 45.8773124), (8.9838434, 45.8773483), (8.9837643, 45.8773789), (8.9836742, 45.8774007), (8.9836106, 45.8774066), (8.9835377, 45.8774114), (8.9831613, 45.8774009)];green;50;54
[(8.9793422, 45.8740188), (8.9790435, 45.8737354), (8.9789675, 45.8736632), (8.9789416, 45.8736387), (8.9789157, 45.8736141), (8.9788976, 45.8735969), (8.9788159, 45.8735194)];green;50;54
[(8.9811348, 45.8766396), (8.9811735, 45.876759), (8.9811809, 45.8769073), (8.9811803, 45.8772888), (8.9811802, 45.8773558)];green;60;54
[(9.0179332, 45.8349609), (9.0179098, 45.8349421), (9.0178936, 45.8349199), (9.0178856, 45.8348956), (9.0178863, 45.8348707), (9.0178956, 45.8348467), (9.0179129, 45.834825)];green;50;50
[(9.0203281, 45.8390136), (9.0206124, 45.8388218), (9.0206767, 45.8387784)];green;50;50
[(9.0206845, 45.8386704), (9.020692, 45.8385182), (9.0206807, 45.8384172), (9.0206772, 45.8383059)];green;50;50
[(9.0206772, 45.8383059), (9.0204718, 45.8379507), (9.0203958, 45.8378522)];green;50;50
[(9.0140489, 45.8260137), (9.0141358, 45.8260442), (9.0143309, 45.826082), (9.0151582, 45.8261498), (9.0153895, 45.826186), (9.0162867, 45.8263779), (9.0165736, 45.8264254), (9.01728, 45.8265423), (9.0174309, 45.8265717), (9.0175882, 45.8266024), (9.0181221, 45.8266077), (9.0187625, 45.8266229), (9.0190354, 45.8266736), (9.0198503, 45.8269919), (9.0200822, 45.8270565), (9.0203252, 45.8270812), (9.0208907, 45.8270627), (9.0212177, 45.8270873), (9.0215981, 45.8271074), (9.0220381, 45.8271349), (9.0221331, 45.8271604), (9.0226264, 45.8273991), (9.0230715, 45.8276019), (9.0233115, 45.8277054), (9.0235783, 45.8278204), (9.0237267, 45.8279662), (9.0237541, 45.8280367), (9.0237528, 45.8281242)];orange;50;39
[(9.0097228, 45.8269995), (9.0094158, 45.8270693), (9.0091412, 45.8271217), (9.0088591, 45.8271604), (9.0077291, 45.8272445), (9.0074887, 45.8272686), (9.0071451, 45.8273588), (9.0068348, 45.8274906), (9.0067063, 45.8275681), (9.0065827, 45.8276644), (9.006532, 45.8277149), (9.0064947, 45.827752), (9.0064571, 45.8277895), (9.0061951, 45.8280504), (9.0059926, 45.8281578), (9.0054173, 45.8283445), (9.0050002, 45.8284419), (9.0045684, 45.828497), (9.0034459, 45.8288101), (9.0027002, 45.8291082), (9.0022684, 45.8292259), (9.0018808, 45.8293596), (9.001343, 45.829581), (9.0011957, 45.8296897), (9.0007403, 45.8301224), (9.0006506, 45.8301994), (9.0005539, 45.8302042), (9.0005263, 45.8301561), (9.0005539, 45.8301032), (9.0006161, 45.8300263), (9.0006851, 45.8299301), (9.0006792, 45.8298343), (9.0005677, 45.8297089), (9.0004918, 45.829632), (9.0004918, 45.8295406), (9.0006299, 45.8294348), (9.0009818, 45.8292617), (9.0014649, 45.8289396)];orange;50;39
[(9.0125126, 45.8456532), (9.0124583, 45.8456513), (9.0122432, 45.8456439), (9.0118949, 45.8456305), (9.011836, 45.8456243), (9.0117897, 45.8456181), (9.0117196, 45.8456024), (9.0116492, 45.8455833), (9.0115734, 45.845554), (9.0115027, 45.8455151), (9.0114504, 45.8454774), (9.0113999, 45.8454298), (9.0113613, 45.845381), (9.0113316, 45.84534), (9.0112787, 45.8452361), (9.0112358, 45.8451304), (9.0110888, 45.8447684), (9.0109884, 45.8445273), (9.0108936, 45.8443754)];orange;50;31
