coordinates;color;speed_limit;current_speed
[(8.9254042, 46.0281038), (8.9256554, 46.0280456), (8.9268044, 46.0277965), (8.9271609, 46.0277222), (8.9275191, 46.0276541), (8.9278737, 46.0275919), (8.9280428, 46.0275651)];green;50;63.0
[(8.920298, 46.0301285), (8.9201549, 46.0299787), (8.9200422, 46.0298477), (8.9198747, 46.0296229), (8.919859, 46.0295863), (8.9198508, 46.0295522), (8.9198511, 46.0295072), (8.9198562, 46.0294611), (8.9198648, 46.0294237), (8.91988, 46.0293953), (8.9199013, 46.0293767), (8.9199226, 46.0293633), (8.9199611, 46.0293468), (8.920199, 46.0292894)];green;50;27.0
[(8.9242008, 46.0358786), (8.9241699, 46.0358644), (8.9241419, 46.0358496), (8.9241189, 46.0358297), (8.9240996, 46.0358091)];green;50;2.0
[(8.9245037, 46.0357964), (8.9244978, 46.0358397), (8.9245007, 46.0358905), (8.9245142, 46.0359594), (8.9245406, 46.0360783), (8.9246108, 46.0362625)];green;50;37.0
[(8.9241521, 46.0362194), (8.9241659, 46.0364405), (8.9241296, 46.0366919), (8.9238943, 46.0375104), (8.92379, 46.0378637)];green;50;7.0
[(8.9230925, 46.0410854), (8.9229888, 46.0411179), (8.9219857, 46.041493), (8.9219008, 46.0415189), (8.9218271, 46.0415396), (8.9217459, 46.0415566), (8.9216573, 46.0415714), (8.921563, 46.0415813), (8.9214956, 46.0415872), (8.9213435, 46.0415899), (8.9208104, 46.0415788), (8.9207455, 46.0415798), (8.9206858, 46.0415845), (8.9206204, 46.0415942), (8.9205563, 46.0416092), (8.9205101, 46.0416246), (8.9204632, 46.041643), (8.9204143, 46.0416659), (8.9203734, 46.0416924), (8.9196423, 46.0422145), (8.9195334, 46.0422908), (8.9194915, 46.042309), (8.9194516, 46.0423253), (8.9194011, 46.0423419), (8.9193477, 46.0423545), (8.9192986, 46.0423634), (8.919245, 46.042367), (8.9191976, 46.0423673), (8.9191415, 46.0423637), (8.9191019, 46.0423583), (8.9190473, 46.0423478), (8.9187077, 46.0422405), (8.9186638, 46.0422293), (8.9186171, 46.0422208), (8.9185581, 46.0422141), (8.9185026, 46.0422133), (8.9184598, 46.0422164), (8.9184345, 46.0422191), (8.9183908, 46.0422275), (8.9180627, 46.0423067), (8.9180099, 46.0423143), (8.9179604, 46.0423201), (8.9179128, 46.0423227), (8.9178676, 46.0423224), (8.917795, 46.0423181), (8.9173931, 46.0422777), (8.9173347, 46.0422697), (8.9172411, 46.0422533), (8.9171918, 46.0422404), (8.9171572, 46.042226), (8.9171179, 46.0422007), (8.9170886, 46.0421773), (8.9170592, 46.0421469), (8.9170361, 46.042112), (8.9170221, 46.042081)];green;50;33.0
[(8.9304991, 46.0276877), (8.9304345, 46.0276375), (8.9303874, 46.0276108), (8.9303537, 46.0275984), (8.9302881, 46.0275809), (8.930174, 46.027557), (8.9300673, 46.0275385), (8.9299545, 46.0275214), (8.929838, 46.027509), (8.9297249, 46.0275002), (8.9296155, 46.0274945), (8.9294966, 46.0274902), (8.9293858, 46.0274882)];green;50;59.0
[(8.9311721, 46.0277154), (8.9311485, 46.0277353), (8.9311194, 46.0277557), (8.9310928, 46.0277715), (8.9310569, 46.0277873), (8.931023, 46.0278009), (8.9309843, 46.0278135), (8.9309457, 46.0278211), (8.9309106, 46.0278269), (8.9308755, 46.0278292), (8.9308331, 46.0278288), (8.9307999, 46.0278273), (8.9307557, 46.0278212), (8.9307165, 46.0278141), (8.9306824, 46.0278043), (8.9306474, 46.027792), (8.9306127, 46.0277763), (8.9305835, 46.0277606), (8.9305543, 46.0277412), (8.9305338, 46.0277223), (8.930509, 46.0277), (8.9304991, 46.0276877), (8.9304767, 46.0276532), (8.9304637, 46.0276291), (8.9304525, 46.0275995), (8.9304491, 46.0275766), (8.9304477, 46.027546), (8.9304511, 46.0275164), (8.9304639, 46.0274738), (8.9304734, 46.0274538), (8.9304902, 46.0274258), (8.9305073, 46.027405), (8.930532, 46.0273804), (8.9305541, 46.0273616), (8.9305877, 46.0273399), (8.9306132, 46.0273255), (8.9306467, 46.0273093), (8.9306752, 46.0272993), (8.9307175, 46.0272868), (8.9307487, 46.0272799), (8.9307918, 46.0272742), (8.93083, 46.0272732), (8.9308692, 46.0272738), (8.930904, 46.027276), (8.9309439, 46.0272803), (8.9309767, 46.027287), (8.9310204, 46.0272989), (8.9310491, 46.0273088), (8.931086, 46.0273263), (8.9311142, 46.0273426), (8.9311436, 46.0273626), (8.9311664, 46.0273839), (8.9311915, 46.0274085), (8.9312068, 46.0274291), (8.9312253, 46.0274596), (8.9312348, 46.0274809), (8.9312441, 46.0275077), (8.9312476, 46.0275335), (8.9312474, 46.0275631), (8.9312461, 46.0275874), (8.9312371, 46.0276144), (8.9312266, 46.0276405), (8.9312104, 46.027667), (8.9311931, 46.0276908), (8.9311721, 46.0277154)];green;60;65.0
[(8.9340118, 46.0375489), (8.9339314, 46.0375655), (8.9336095, 46.037606)];green;50;34.0
[(8.9252836, 46.0429102), (8.9263215, 46.0436284)];green;50;26.0
[(8.9263215, 46.0436284), (8.9268024, 46.0439479)];green;50;31.0
[(8.9268598, 46.044115), (8.9265919, 46.044508), (8.9261974, 46.0450308), (8.9260746, 46.0451941), (8.9260189, 46.0452725), (8.9258983, 46.0454385), (8.9257573, 46.0456433), (8.925663, 46.0458039), (8.9256399, 46.0458465), (8.9255911, 46.0459367), (8.9254519, 46.0462328)];green;50;51.0
[(8.9269737, 46.0439135), (8.9270157, 46.0439287), (8.9270492, 46.0439518), (8.9270724, 46.0439834), (8.9270796, 46.0440185), (8.9270702, 46.0440533), (8.9270451, 46.0440841), (8.9270071, 46.0441077), (8.9269601, 46.0441214), (8.9269092, 46.044124), (8.9268598, 46.044115), (8.92682, 46.0440971), (8.9267897, 46.0440718), (8.9267718, 46.0440413), (8.926768, 46.0440085), (8.9267785, 46.0439764), (8.9268024, 46.0439479), (8.9268374, 46.0439259), (8.9268803, 46.0439121), (8.9269272, 46.0439078), (8.9269737, 46.0439135)];green;50;21.0
[(8.9319247, 46.0390434), (8.9315397, 46.0389556), (8.9310666, 46.0388052), (8.930408, 46.038597), (8.9301601, 46.0385164), (8.9297584, 46.0383864)];green;50;31.0
[(8.9297584, 46.0383864), (8.9277717, 46.0377656)];green;50;31.0
[(8.9277717, 46.0377656), (8.926652, 46.0374214), (8.9265068, 46.0373742)];green;50;37.0
[(8.9285156, 46.0275815), (8.9283028, 46.0276094)];green;50;59.0
[(8.9234891, 46.0285919), (8.9227987, 46.0287505), (8.922228, 46.0288776)];green;50;27.0
[(8.9207618, 46.047232), (8.9210085, 46.045706), (8.9210442, 46.045551), (8.9210626, 46.0455068), (8.9210841, 46.0454747), (8.9211103, 46.0454458)];green;50;40.0
[(8.9219867, 46.0289313), (8.9205374, 46.0292619), (8.920095, 46.029372), (8.9199353, 46.0294181), (8.9198979, 46.029423), (8.9198648, 46.0294237), (8.919829, 46.0294185), (8.9197991, 46.029412), (8.9197719, 46.0294034), (8.9197441, 46.0293925), (8.9197163, 46.0293752), (8.9196908, 46.0293522), (8.9192913, 46.028792)];green;50;38.0
[(8.9222026, 46.0288332), (8.9234699, 46.0285443)];green;50;40.0
[(8.9211103, 46.0454458), (8.9211443, 46.0454149), (8.9211848, 46.0453855), (8.9212544, 46.0453497), (8.9213149, 46.0453263), (8.9213738, 46.0453099), (8.921435, 46.0452997), (8.9215135, 46.0452938), (8.9215908, 46.0452937), (8.9217177, 46.045296), (8.9219497, 46.0453092), (8.9220739, 46.0453153), (8.9222102, 46.0453174), (8.9223293, 46.0453168), (8.9224808, 46.0453115), (8.922571, 46.0453028)];green;50;40.0
[(8.9228367, 46.0452478), (8.9229063, 46.0452251), (8.9229963, 46.045193), (8.9230846, 46.0451496), (8.9231687, 46.0451003), (8.9232477, 46.0450466), (8.92333, 46.0449831), (8.9233869, 46.0449249), (8.9234389, 46.0448683), (8.9234982, 46.0447838), (8.923547, 46.0446868), (8.9235877, 46.0445809), (8.9236318, 46.0444102), (8.9238657, 46.0431496), (8.9239107, 46.0428584), (8.9239278, 46.0427964), (8.9239533, 46.0427254), (8.9239898, 46.0426543), (8.924015, 46.0426095), (8.9240667, 46.042536), (8.9241394, 46.0424489), (8.9241961, 46.0423957)];green;50;40.0
[(8.9235517, 46.0388427), (8.9235556, 46.0394651), (8.9235552, 46.0395933), (8.9235483, 46.0397021), (8.923539, 46.0398081), (8.9234995, 46.0400669), (8.9234179, 46.040398), (8.9234046, 46.0404472), (8.9233241, 46.0407745), (8.9233174, 46.0408019), (8.9232544, 46.0409593)];green;50;35.0
[(8.92379, 46.0378637), (8.9237734, 46.0379213), (8.9237274, 46.0380729)];green;50;7.0
[(8.9265068, 46.0373742), (8.9262082, 46.0372776), (8.9259103, 46.0371661), (8.925712, 46.0370817), (8.9254777, 46.0369749), (8.9254454, 46.0369602), (8.9251924, 46.0368161), (8.9250595, 46.036725), (8.9249514, 46.0366411), (8.9247804, 46.0364903), (8.9246108, 46.0362625)];green;50;31.0
[(8.9170221, 46.042081), (8.9170178, 46.0420646), (8.917017, 46.0420467), (8.9170202, 46.0420332), (8.9170279, 46.0420174), (8.9170388, 46.0420058), (8.9171394, 46.0418984), (8.9171551, 46.0418754), (8.9171634, 46.0418543), (8.9171651, 46.0418315), (8.9171635, 46.0418128)];green;50;33.0
[(8.9270492, 46.0439518), (8.9271279, 46.0439106), (8.9273121, 46.0438198), (8.9276025, 46.0436837), (8.9277567, 46.0436173), (8.9281153, 46.0434762), (8.9284973, 46.0433243), (8.9286919, 46.0432441), (8.9289462, 46.0431381), (8.9290561, 46.0430881), (8.9291169, 46.0430566), (8.929147, 46.043041), (8.9292315, 46.0429923), (8.9293362, 46.0429271), (8.9294234, 46.0428694), (8.9295017, 46.0428119), (8.9295706, 46.0427548), (8.9296509, 46.042679), (8.9297312, 46.0426001), (8.9298133, 46.042506), (8.9298932, 46.0424016), (8.9299864, 46.0422614), (8.9302607, 46.0418577), (8.9303662, 46.0417003), (8.9314522, 46.040089), (8.9316576, 46.0397799), (8.9318142, 46.0395346), (8.9319264, 46.0393347), (8.9319905, 46.0392299)];green;50;51.0
[(8.9336095, 46.037606), (8.9333737, 46.0376325), (8.9333128, 46.0376438), (8.9332516, 46.0376592), (8.9331982, 46.0376784), (8.9331429, 46.0377008), (8.9330999, 46.0377229), (8.9330627, 46.0377459), (8.9330225, 46.0377785), (8.93298, 46.0378219), (8.9329488, 46.0378599), (8.9328432, 46.0380205), (8.932716, 46.0382018), (8.9323935, 46.0386784), (8.9322839, 46.038829), (8.9321965, 46.0389391), (8.9321263, 46.0390274)];green;50;35.0
[(8.9320847, 46.0390145), (8.9321263, 46.0390274)];green;50;21.0
[(8.9223209, 46.0316171), (8.9223835, 46.031696), (8.9226315, 46.0319976)];green;50;31.0
[(8.9220665, 46.0315245), (8.9220786, 46.0314882), (8.9221075, 46.0314568), (8.9221498, 46.0314339), (8.9222008, 46.0314222), (8.9222545, 46.031423), (8.9223046, 46.0314363), (8.9223454, 46.0314605), (8.9223711, 46.0314906), (8.9223817, 46.0315248), (8.9223763, 46.0315596), (8.9223553, 46.0315915), (8.9223209, 46.0316171), (8.9222775, 46.0316337), (8.9222288, 46.0316401), (8.9221797, 46.0316357), (8.9221349, 46.0316209), (8.9220964, 46.0315949), (8.9220727, 46.0315615), (8.922068, 46.0315407), (8.9220665, 46.0315245)];green;50;31.0
