coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.8857873, 46.1675605), (8.8857467, 46.1676984), (8.8856787, 46.1678954), (8.88567, 46.1679324), (8.8856643, 46.1680086)];80;51;51;51;51
[(8.8856831, 46.1758768), (8.8857097, 46.1758433), (8.885731, 46.1758112), (8.8857603, 46.1757491), (8.8857659, 46.1757291), (8.8857705, 46.1757126), (8.8858099, 46.1754353), (8.885843, 46.1755031), (8.8858531, 46.1755356), (8.8858616, 46.1755746), (8.8858691, 46.1757296), (8.885871, 46.1757693), (8.8858796, 46.1758611)];60;51;51;51;51
[(8.7009549, 46.1774202), (8.7010191, 46.177059), (8.7010434, 46.1769219), (8.7010463, 46.1768865), (8.7010464, 46.1768549), (8.7010405, 46.1768225), (8.7010299, 46.1767933), (8.7010133, 46.1767638), (8.7009914, 46.1767324), (8.7009638, 46.1767037), (8.7009336, 46.1766807), (8.7009007, 46.1766603), (8.7008561, 46.1766392)];50;47;47;47;47
[(8.9267801, 45.9641279), (8.927669, 45.9633877), (8.9284569, 45.9628523), (8.9291873, 45.9624388), (8.9302085, 45.9619863), (8.9314066, 45.9616614), (8.934427, 45.9613039), (8.9399146, 45.9606836), (8.9414737, 45.9603865), (8.9430158, 45.9599429), (8.9446223, 45.9592748), (8.9454174, 45.958831), (8.9459143, 45.9585124)];100;52;52;52;52
[(8.9250637, 45.9621089), (8.9252792, 45.9625509), (8.925369, 45.9628781), (8.9254098, 45.9633128), (8.9254529, 45.9640849), (8.9254485, 45.9645459), (8.9253989, 45.9652227), (8.9253492, 45.9655376), (8.9252967, 45.9657328), (8.9251571, 45.9661836), (8.9251307, 45.9662687)];80;52;52;52;52
[(8.8888513, 45.9836241), (8.8889512, 45.9837116), (8.8891624, 45.9839132), (8.8894896, 45.9842335), (8.8896703, 45.9844038), (8.8897321, 45.9844661), (8.8902568, 45.9849527), (8.8908338, 45.9855083), (8.8911769, 45.9858415), (8.8917907, 45.9864361), (8.8920076, 45.9867065)];50;51;51;51;51
[(8.8832006, 45.9829296), (8.8831986, 45.9829609), (8.8831942, 45.9830317), (8.8831545, 45.9831577), (8.883107, 45.9833082), (8.8828596, 45.9840363), (8.8828755, 45.9841373), (8.8829751, 45.9842554), (8.8830474, 45.9843209), (8.8831066, 45.9843745), (8.8834336, 45.9846001), (8.8835475, 45.9846595), (8.883681, 45.9847051), (8.8838483, 45.9847192), (8.8840384, 45.9847055), (8.8844471, 45.9846421), (8.8847351, 45.9846422), (8.8850803, 45.9847148), (8.8857478, 45.9849057), (8.8863019, 45.985095), (8.8865448, 45.9851991), (8.8871722, 45.9855531), (8.8873233, 45.9856251), (8.8874236, 45.9856519), (8.8875644, 45.9856709), (8.8890992, 45.985661), (8.889297, 45.9856945), (8.889443, 45.9857416), (8.8895979, 45.9858131), (8.8897341, 45.9858892), (8.8898487, 45.9859764), (8.8900557, 45.9861597), (8.8900987, 45.9862106), (8.8901046, 45.9862604), (8.8900627, 45.9862908), (8.8899997, 45.986292), (8.889941, 45.9862522), (8.8898664, 45.9861556), (8.8897425, 45.986055), (8.8896247, 45.9860025), (8.8894446, 45.9859646), (8.889284, 45.9859586), (8.8891187, 45.9859807), (8.8889254, 45.9860338), (8.8885271, 45.986212), (8.8881962, 45.9863769), (8.8878038, 45.9865646)];50;51;51;51;51
[(8.9641757, 46.0115659), (8.964374, 46.011563), (8.9645862, 46.0115939), (8.9647386, 46.0116266), (8.9648721, 46.0116577), (8.9650383, 46.0117072), (8.9651025, 46.0117296), (8.9651949, 46.0117552)];50;37;37;37;37
[(8.9653565, 46.011881), (8.9653425, 46.0118932), (8.9653256, 46.0119034), (8.9652929, 46.0119152), (8.9652555, 46.0119199)];50;37;37;37;37
[(8.9697624, 46.0146468), (8.9696225, 46.0145654), (8.9694539, 46.0144727), (8.9692493, 46.0143758), (8.9690513, 46.014288), (8.9688866, 46.0142226), (8.9686685, 46.0141515), (8.9682668, 46.0140396), (8.9680878, 46.0139877), (8.9679174, 46.0139252), (8.9677865, 46.0138596), (8.9676782, 46.0137915), (8.9675965, 46.0137275)];50;37;37;37;37
[(8.9713513, 46.0157008), (8.9713733, 46.0156851), (8.971401, 46.0156745)];50;37;37;37;37
[(8.9722691, 46.0090494), (8.972239, 46.0090829), (8.9721854, 46.0091415), (8.9718408, 46.0094634), (8.9717987, 46.0095094), (8.9717411, 46.0095879), (8.971691, 46.009676)];50;43;43;43;43
[(8.9634853, 46.0372146), (8.9634591, 46.0371667), (8.9634471, 46.0371447), (8.963411, 46.0370908), (8.9633576, 46.0370283), (8.9628931, 46.0365624), (8.9628189, 46.036488), (8.9626855, 46.0363314), (8.96254, 46.0361746), (8.9622841, 46.0359161), (8.9620392, 46.035643), (8.9618064, 46.0353419), (8.9617522, 46.035268), (8.9616219, 46.0350898), (8.961481, 46.0349072), (8.9611733, 46.0344887), (8.9610466, 46.0343303), (8.9609724, 46.0342466), (8.9608791, 46.0341519), (8.9607475, 46.0340365), (8.9604428, 46.0337929)];50;47;47;47;47
[(8.8527176, 46.1822151), (8.8526735, 46.1822092), (8.8526341, 46.1822007)];50;43;43;43;43
[(8.8448396, 46.1794688), (8.8451219, 46.1794817), (8.8456821, 46.1795072), (8.8461288, 46.1795247), (8.8465647, 46.1795451), (8.8466948, 46.1795535), (8.8468065, 46.1795659), (8.8469067, 46.1795851), (8.8469657, 46.179599), (8.8472353, 46.1796891), (8.8474419, 46.1797787), (8.8474957, 46.179802), (8.8475721, 46.1798364), (8.8480254, 46.1800407), (8.848302, 46.1801654), (8.848383, 46.1802019), (8.8488083, 46.1803963), (8.8488793, 46.1804312), (8.8489218, 46.180452)];50;80;80;80;80
[(8.849088, 46.1805315), (8.8490641, 46.1805487), (8.8490332, 46.1805593), (8.8489991, 46.1805621), (8.8489655, 46.1805568), (8.8489398, 46.1805461), (8.8489199, 46.1805306), (8.8489073, 46.1805117), (8.8489034, 46.1804911), (8.8489083, 46.1804706), (8.8489218, 46.180452), (8.8489435, 46.1804365), (8.848971, 46.1804263), (8.8490018, 46.1804224), (8.8490271, 46.1804252), (8.8490613, 46.1804345), (8.8490842, 46.1804495), (8.8490994, 46.1804686), (8.8491053, 46.1804901), (8.8491014, 46.1805118), (8.849088, 46.1805315)];50;40;40;40;40
[(8.9819518, 46.0396551), (8.9819861, 46.0398406), (8.9820027, 46.0399409), (8.9820839, 46.0402965), (8.9821239, 46.0404704), (8.9821407, 46.0405291), (8.982158, 46.0405724), (8.9821985, 46.0406519), (8.9822461, 46.0407287), (8.9822723, 46.0407665), (8.9823022, 46.0408078), (8.9823259, 46.040837), (8.9823642, 46.0408777), (8.9824179, 46.0409305), (8.9824594, 46.04097), (8.9825172, 46.0410195), (8.9826036, 46.041107), (8.9827501, 46.0412514), (8.9831347, 46.0416271), (8.9831836, 46.0416908), (8.9832325, 46.0417596), (8.9832777, 46.0418338), (8.9833208, 46.0419195), (8.983358, 46.0420084), (8.9833872, 46.0420903), (8.9834041, 46.0421652), (8.9834154, 46.042239), (8.9834214, 46.042306), (8.9834244, 46.0423764), (8.9834231, 46.0424198), (8.9834189, 46.0424788), (8.9834058, 46.0425468)];50;45;45;45;45
[(8.9557397, 46.0080165), (8.9555556, 46.0080056), (8.9549682, 46.0079729), (8.9546517, 46.0079498), (8.9545877, 46.0079451), (8.9547535, 46.0081014)];50;22;22;22;22
[(8.9712967, 46.0170879), (8.9712712, 46.0170292), (8.9712172, 46.0169191), (8.9711558, 46.0167033), (8.9711572, 46.0166101), (8.9712144, 46.0163371), (8.9713307, 46.0159954), (8.9713505, 46.0159392), (8.9713694, 46.0158784), (8.9713925, 46.0158129)];50;37;37;37;37
[(8.9751554, 46.0188844), (8.975059, 46.0188303), (8.9747707, 46.0186698), (8.974571, 46.0185774), (8.9744769, 46.0185336), (8.9743821, 46.0184854), (8.9743103, 46.018442), (8.9742328, 46.0183885), (8.9741664, 46.018337), (8.9740797, 46.0182677), (8.9735074, 46.0178005), (8.9734663, 46.0177777), (8.9734315, 46.0177636), (8.9733951, 46.0177523), (8.9733559, 46.0177448), (8.9733123, 46.0177396), (8.9732659, 46.0177378), (8.9732226, 46.0177386), (8.9731821, 46.0177439), (8.9731388, 46.0177539), (8.9730892, 46.0177707), (8.9730163, 46.017806), (8.9729138, 46.0178648), (8.9728177, 46.0179227), (8.9726664, 46.0180113), (8.9725727, 46.0180606), (8.9724707, 46.0181099), (8.9723825, 46.0181463), (8.9722888, 46.0181783), (8.9721562, 46.0182143), (8.9720988, 46.018224), (8.972057, 46.018229), (8.972022, 46.0182269), (8.9719828, 46.0182218), (8.9719553, 46.0182147), (8.9719111, 46.0181998), (8.9718706, 46.0181785), (8.971841, 46.0181583), (8.9718181, 46.0181317), (8.9718042, 46.0181051), (8.971796, 46.0180716), (8.9717934, 46.0180419), (8.9717987, 46.0180116), (8.9718402, 46.0179202), (8.9718656, 46.0178609), (8.9718845, 46.0178042), (8.9718936, 46.0177659), (8.9718961, 46.0177367), (8.9718951, 46.0177034), (8.9718876, 46.0176722), (8.9718751, 46.0176485), (8.9718508, 46.0176184), (8.9718183, 46.0175815), (8.9717392, 46.0175126), (8.9716078, 46.0174232), (8.9714708, 46.017308), (8.9712967, 46.0170879)];50;37;37;37;37
[(8.9760804, 46.0219967), (8.9760723, 46.0219259), (8.9760455, 46.0216596), (8.976012, 46.0215087), (8.9759436, 46.0213997), (8.975792, 46.0212843), (8.9757049, 46.0212005), (8.9756835, 46.0211625), (8.975666, 46.0211315), (8.9756405, 46.0210757), (8.9755962, 46.0208494), (8.9754998, 46.0202811), (8.9755144, 46.0201481), (8.9755665, 46.0200725), (8.9755907, 46.020008), (8.9756336, 46.0199126), (8.9756495, 46.0198861), (8.9757195, 46.0197696), (8.9757397, 46.0196816), (8.975741, 46.0196256), (8.9757388, 46.0196104), (8.9757131, 46.0193969), (8.9756988, 46.0193097), (8.9756924, 46.0192713), (8.9756813, 46.0192339), (8.9756723, 46.0192047), (8.975656, 46.0191776), (8.9756278, 46.0191482), (8.9755925, 46.0191178), (8.9755715, 46.019104), (8.9755306, 46.0190782), (8.9753354, 46.0189771), (8.9751554, 46.0188844)];50;42;42;42;42
[(8.9833559, 46.0215273), (8.9833545, 46.0217979), (8.9833525, 46.0219403), (8.9832406, 46.0222218), (8.9831783, 46.0223823), (8.9830721, 46.0230367), (8.9830588, 46.0231239), (8.9830511, 46.0231576), (8.9830453, 46.0231809), (8.9830361, 46.0232032), (8.9830179, 46.0232272), (8.9829874, 46.0232478), (8.9829443, 46.023266), (8.982899, 46.0232775), (8.9828511, 46.0232821), (8.9827993, 46.0232797), (8.9827575, 46.0232703), (8.9827214, 46.0232523), (8.9826886, 46.0232316), (8.9826592, 46.0232031), (8.9826349, 46.0231689), (8.9826164, 46.0231293), (8.9822535, 46.0221168)];50;31;31;31;31
[(8.9669437, 46.0656591), (8.9669242, 46.0657125)];50;32;32;32;32
[(8.9558316, 46.0123516), (8.955851, 46.0124323), (8.9559083, 46.0126703), (8.9560996, 46.0134577), (8.9561138, 46.0135163), (8.9561358, 46.0136055), (8.9563113, 46.0143873), (8.956325, 46.0144429), (8.9563452, 46.01453), (8.9563532, 46.0145742), (8.9564301, 46.0150007), (8.9564733, 46.0152192), (8.9565817, 46.0157681), (8.956794, 46.0163902), (8.9568083, 46.0164322), (8.9570029, 46.0172718)];50;20;20;20;20
[(8.9548665, 46.0123508), (8.9548973, 46.0121848), (8.9549034, 46.0119261)];50;20;20;20;20
[(8.9673611, 46.0684289), (8.9670262, 46.068425), (8.966589, 46.0684216), (8.9662738, 46.068441), (8.9660198, 46.0684765)];50;32;32;32;32
[(8.9518729, 46.006118), (8.9518583, 46.006082)];50;22;22;22;22
[(9.0428447, 46.2247157), (9.042761, 46.2248646), (9.0426054, 46.2251682), (9.0425252, 46.2253241), (9.0424397, 46.2254922), (9.0423542, 46.2256599), (9.0423128, 46.225736), (9.0422473, 46.2257955)];50;102;102;102;102
[(9.0502338, 46.2237837), (9.0506244, 46.2239813), (9.0507497, 46.224043), (9.050962, 46.2241472), (9.0518377, 46.2245738), (9.0519671, 46.2246382), (9.0523493, 46.2248295)];50;39;39;39;39
[(8.7897539, 46.3493784), (8.7890229, 46.3495783)];50;50;50;50;50
[(8.9213343, 46.0534188), (8.9213066, 46.0534516), (8.9212909, 46.0534701), (8.9212736, 46.0535267), (8.9212985, 46.0540799), (8.9212899, 46.0542833), (8.9212773, 46.054344), (8.9212645, 46.0544175), (8.9209082, 46.0554235), (8.9208936, 46.0555235), (8.9210195, 46.0565703)];50;36;36;36;36
[(8.9195738, 46.0593747), (8.9192851, 46.0597565), (8.9192318, 46.059835), (8.9192077, 46.0598809), (8.9191914, 46.0599214), (8.9191844, 46.0599698), (8.9191893, 46.0600296), (8.9192087, 46.0600947), (8.9192441, 46.0601592), (8.9192798, 46.0602019), (8.9193335, 46.0602502), (8.9194032, 46.0602986), (8.9199628, 46.0606759), (8.9202772, 46.0608855), (8.9203362, 46.0609308), (8.9203816, 46.060975), (8.9204189, 46.0610153), (8.9204409, 46.0610526), (8.9204589, 46.0610917), (8.9204897, 46.0611873), (8.9205859, 46.0615655), (8.9205928, 46.0616382), (8.920591, 46.0617025), (8.9205805, 46.0617783), (8.9204723, 46.0621163), (8.9204295, 46.06228), (8.9203931, 46.0624492), (8.9204149, 46.0626057), (8.9207615, 46.0631897), (8.9213988, 46.0641774), (8.9215862, 46.0644509), (8.9216372, 46.064501), (8.921795, 46.0646197), (8.9218972, 46.0646478)];50;36;36;36;36
[(8.88571, 46.1683044), (8.8857286, 46.168393), (8.8857746, 46.1685615), (8.8858086, 46.1687394)];60;51;51;51;51
[(8.8857901, 46.1688535), (8.8858084, 46.1689687), (8.8858163, 46.1690878), (8.8858195, 46.1692947)];60;51;51;51;51
[(8.9230745, 46.175706), (8.9225413, 46.1757529), (8.9223991, 46.175764), (8.922322, 46.1757691), (8.9222579, 46.17577), (8.9222187, 46.1757708), (8.9221139, 46.1757703)];50;54;54;54;54
[(8.9254519, 46.0462328), (8.9254004, 46.0463679), (8.9253574, 46.0464912), (8.9253471, 46.0465376), (8.9253426, 46.0465777), (8.9253434, 46.0466125), (8.9253478, 46.0466481), (8.9253617, 46.0466971), (8.9253841, 46.0467483), (8.9254098, 46.0467915), (8.9254472, 46.0468388), (8.9254797, 46.0468708), (8.9255185, 46.0469051), (8.9255654, 46.0469388), (8.9257826, 46.0470806), (8.9258417, 46.0471246), (8.9258724, 46.0471527), (8.9258996, 46.0471816)];60;51;51;51;51
[(8.9334494, 46.063447), (8.9335914, 46.0637371), (8.9338175, 46.0641889)];60;51;51;51;51
[(8.9326256, 46.0718643), (8.9324977, 46.0718913), (8.9323555, 46.0719169), (8.9320883, 46.0719707), (8.9310936, 46.0722047)];50;111;111;111;111
[(8.9320127, 46.1095075), (8.9320095, 46.1097389), (8.9319946, 46.1099796), (8.9319805, 46.1101587), (8.9318829, 46.1107981), (8.9317462, 46.1115209), (8.9316659, 46.1119457)];80;58;58;58;58
[(8.9249388, 46.1238171), (8.924763, 46.1240828), (8.9246835, 46.124203), (8.9246687, 46.1242267), (8.9246516, 46.124254), (8.9245462, 46.1244226), (8.9245171, 46.1244692), (8.9243749, 46.1247134), (8.9243075, 46.1248293), (8.9241786, 46.1250611), (8.924136, 46.1251361), (8.9238908, 46.125553), (8.9238515, 46.1256197)];50;47;47;47;47
[(8.9157147, 45.9225042), (8.915597, 45.9224798), (8.9155204, 45.9224676), (8.9154792, 45.9224631), (8.915386, 45.9224566), (8.9147172, 45.9224394), (8.9145591, 45.922421), (8.9142954, 45.9223819), (8.9141357, 45.9223581)];30;42;42;42;42
[(8.9316046, 45.9352657), (8.9313399, 45.935021), (8.9311159, 45.9347757), (8.9308785, 45.9344875), (8.9304534, 45.9340855), (8.9303026, 45.9339137), (8.9301707, 45.9337463), (8.930146, 45.933715), (8.9300479, 45.9335922), (8.9300151, 45.9335441), (8.9298404, 45.9332139), (8.9297735, 45.9331192), (8.9297086, 45.9330388), (8.9295606, 45.932902), (8.9292773, 45.9326696), (8.9290673, 45.9325165), (8.9288216, 45.9323469), (8.9286431, 45.9321898), (8.9284189, 45.931916)];50;42;42;42;42
[(8.8795365, 45.9821608), (8.87963, 45.9822143), (8.8797641, 45.9822813), (8.8799002, 45.9823387), (8.8800283, 45.9823894), (8.880186, 45.9824408), (8.8803206, 45.9824757), (8.8804595, 45.9825055), (8.8806177, 45.9825353), (8.8808239, 45.9825652), (8.8812091, 45.9826121)];50;44;44;44;44
[(8.8788961, 45.981664), (8.8789147, 45.981679)];50;45;45;45;45
[(8.8594101, 46.2213054), (8.8590013, 46.2214612), (8.8587945, 46.2215304), (8.8587175, 46.2215652), (8.8586652, 46.2215921), (8.8586061, 46.2216285), (8.8585539, 46.2216647), (8.8585121, 46.2217009), (8.8584622, 46.2217512), (8.8584227, 46.221798), (8.8583836, 46.2218563), (8.8583458, 46.2219173), (8.858301, 46.222001), (8.8581866, 46.2222338), (8.8581831, 46.222241)];50;49;49;49;49
[(8.8567015, 46.0237228), (8.8566347, 46.0232453)];30;39;39;39;39
[(8.6237187, 46.5267748), (8.62353, 46.5268507), (8.6232465, 46.526949), (8.6228017, 46.5270938), (8.6227018, 46.5271232), (8.6226078, 46.5271458), (8.6224223, 46.5271803), (8.6222909, 46.5272015), (8.6221802, 46.5272174), (8.6220656, 46.527229), (8.6215697, 46.5272634), (8.6212812, 46.5272743), (8.6209776, 46.5272779), (8.6207704, 46.5272743), (8.620618, 46.5272696), (8.6202851, 46.5272388), (8.6201212, 46.5272174), (8.6199919, 46.5271956), (8.6195624, 46.5271167), (8.6191685, 46.5270409), (8.6186445, 46.5269331), (8.618429, 46.5268949), (8.6182526, 46.526869), (8.6180706, 46.5268498), (8.6178656, 46.5268393), (8.6177123, 46.5268337), (8.6175578, 46.5268369), (8.6174721, 46.5268422), (8.6173886, 46.5268511), (8.6173053, 46.5268629), (8.6172247, 46.52688)];60;110;110;110;110
[(8.6169752, 46.526962), (8.6169173, 46.5269876), (8.6168409, 46.5270273), (8.6167561, 46.5270817), (8.6166843, 46.5271403), (8.6165349, 46.5272759), (8.6164494, 46.5273584), (8.616232, 46.5275679), (8.6160417, 46.5277536), (8.6159576, 46.5278319), (8.6158838, 46.5278903), (8.6158197, 46.5279309), (8.6157342, 46.5279794), (8.6156517, 46.5280205), (8.6155614, 46.5280603), (8.6154514, 46.5280998), (8.6152814, 46.5281473), (8.6150711, 46.5281995), (8.614754, 46.5282629), (8.6141609, 46.5283642), (8.6133841, 46.5284673)];50;55;55;55;55
[(8.6010099, 46.5248375), (8.6010032, 46.5248946), (8.6009999, 46.524955), (8.601001, 46.5250233)];80;43;43;43;43
[(8.9351698, 46.0319065), (8.9350562, 46.0320046), (8.9349561, 46.0321034), (8.9349061, 46.0321581), (8.9348546, 46.0322206), (8.9347966, 46.0323055), (8.9347443, 46.0324001), (8.9347046, 46.032493), (8.9346768, 46.0325852), (8.9346596, 46.0326637), (8.9346495, 46.0327463), (8.9346431, 46.0328304), (8.9346467, 46.0329345), (8.9346608, 46.0330551), (8.9347121, 46.0333075), (8.9348249, 46.0337072), (8.9348606, 46.0340109), (8.9348727, 46.0341456), (8.934877, 46.0342377), (8.9348762, 46.0343255), (8.9348714, 46.0343982), (8.9348601, 46.0344955), (8.9348423, 46.0346231), (8.9348126, 46.0347204), (8.9347867, 46.0347889), (8.9346087, 46.0352206)];50;46;46;46;46
[(8.8498421, 46.5281796), (8.8498395, 46.5280897), (8.8498308, 46.5279828), (8.8498026, 46.5278251)];80;62;62;62;62
[(8.8496795, 46.5253897), (8.8497996, 46.525282), (8.8498979, 46.5252065), (8.8500228, 46.5251226), (8.8502524, 46.5249811), (8.8505736, 46.5247894), (8.8509191, 46.5246024), (8.8518989, 46.5241092), (8.8520941, 46.5240086), (8.8525118, 46.5237881)];80;62;62;62;62
[(8.9450779, 46.0058503), (8.9450009, 46.0058131), (8.9449527, 46.005796), (8.944868, 46.0057696), (8.9447652, 46.005757), (8.9446747, 46.0057533), (8.9444543, 46.0057805), (8.9442546, 46.0058376), (8.9440974, 46.0058847)];50;19;19;19;19
[(8.8933321, 45.9886998), (8.8933958, 45.9887701), (8.8936155, 45.9889653), (8.894023, 45.989254), (8.8943762, 45.9895032), (8.8945846, 45.9896864), (8.8947778, 45.9898982), (8.8949406, 45.9901272), (8.8951089, 45.9903842), (8.8952628, 45.9906004), (8.8954554, 45.9908391), (8.8957651, 45.9912131), (8.8959009, 45.9913683), (8.8959991, 45.9914724), (8.8962275, 45.9916945), (8.8963669, 45.9918693), (8.8964397, 45.9919981), (8.8966316, 45.9923995), (8.8966977, 45.9925141), (8.8967804, 45.9926142), (8.8968766, 45.9927132)];80;51;51;51;51
[(8.899303, 45.9964902), (8.8993411, 45.9966976), (8.8993577, 45.9967994)];50;46;46;46;46
[(8.9522754, 46.0041588), (8.9524622, 46.0038133), (8.9524819, 46.0038), (8.9525106, 46.0037939)];50;22;22;22;22
[(8.9692572, 46.0296448), (8.9692621, 46.029696), (8.969269, 46.0297704), (8.9693519, 46.0299514), (8.9694009, 46.0300341), (8.969442, 46.0301025), (8.969502, 46.0301843), (8.969548, 46.0302416), (8.9696029, 46.0302975), (8.9696898, 46.0303772), (8.9697662, 46.0304361), (8.9698558, 46.0305005), (8.9699364, 46.030549), (8.9700392, 46.0306019), (8.9701859, 46.0306658), (8.9703229, 46.0307205), (8.9704282, 46.0307548), (8.9705454, 46.0307863), (8.9709865, 46.030872), (8.9714574, 46.0309659), (8.9717967, 46.0310324), (8.9719646, 46.0310721), (8.9720557, 46.0310987), (8.9721496, 46.0311343), (8.9722714, 46.0311851), (8.9724735, 46.0312862)];50;38;38;38;38
[(8.9266869, 45.9887937), (8.9268048, 45.988851), (8.9274713, 45.9891176), (8.9281645, 45.9893949), (8.9285464, 45.9895584), (8.9289062, 45.9897085), (8.9291371, 45.9898062), (8.9292369, 45.9898484), (8.9293388, 45.9898915), (8.9294407, 45.9899346), (8.9313133, 45.9907257), (8.9314914, 45.9908258), (8.9315738, 45.9908582), (8.9318827, 45.9909324), (8.9324563, 45.9910577), (8.9331273, 45.991222), (8.9333505, 45.9912748), (8.9335182, 45.9913403), (8.9336446, 45.991421), (8.9338343, 45.9916092), (8.9340885, 45.9918605), (8.9341728, 45.9919912), (8.9342177, 45.992161), (8.9342002, 45.9926165), (8.9340869, 45.993131), (8.9340673, 45.9933381), (8.9340711, 45.993497), (8.9342183, 45.9937925), (8.934383, 45.9941231), (8.9345418, 45.9945236), (8.9346639, 45.9947781), (8.9347006, 45.9950351), (8.9346635, 45.9953517), (8.9346085, 45.9955529)];50;104;104;104;104
[(9.0349212, 45.8393206), (9.0348655, 45.8393272), (9.0348313, 45.8393295), (9.0347864, 45.8393286), (9.0347435, 45.8393276), (9.0346952, 45.8393229), (9.0346261, 45.8393103), (9.0340491, 45.8391731), (9.0338523, 45.8391271), (9.0336512, 45.8390862), (9.0335061, 45.8390609), (9.0333734, 45.8390389), (9.0332623, 45.8390247), (9.0331373, 45.8390095), (9.0330254, 45.8389965), (9.0328983, 45.8389844), (9.0327412, 45.8389736), (9.0325673, 45.838963), (9.0316815, 45.8389388), (9.0305909, 45.8389134)];40;97;97;97;97
[(9.0353078, 45.8394039), (9.035122, 45.839338), (9.0348592, 45.8392634)];40;97;97;97;97
[(9.0333646, 45.8384237), (9.0333664, 45.838207)];40;97;97;97;97
[(9.0333664, 45.838207), (9.0333597, 45.8381195), (9.0333482, 45.8380585), (9.0333314, 45.8380079), (9.0333063, 45.8379666), (9.0332807, 45.8379291), (9.0332463, 45.8378984), (9.0332118, 45.8378714), (9.0331743, 45.8378509), (9.0331241, 45.8378308), (9.033077, 45.837816), (9.0330353, 45.8378107), (9.0329875, 45.8378083), (9.0329199, 45.8378132), (9.0328647, 45.8378244), (9.0328204, 45.8378358), (9.0327686, 45.8378575), (9.0327282, 45.8378807), (9.0326948, 45.8379055), (9.0326659, 45.8379341), (9.032642, 45.8379705), (9.0326267, 45.838008), (9.0326205, 45.8380446), (9.0326189, 45.8380759), (9.0326253, 45.8381057), (9.0326374, 45.8381383), (9.0326586, 45.8381692), (9.0326885, 45.8381982), (9.0327214, 45.838225), (9.0327588, 45.8382475), (9.0327989, 45.8382662), (9.032854, 45.8382826), (9.0329092, 45.8382935), (9.032962, 45.8382985), (9.0330241, 45.8382999), (9.0330872, 45.8382988), (9.0331762, 45.8382926), (9.0332516, 45.8382806), (9.0333425, 45.8382578), (9.0334519, 45.8382269), (9.0335068, 45.8382114)];40;97;97;97;97
[(9.0335808, 45.8389458), (9.0335411, 45.8389202), (9.0334927, 45.8388876), (9.0334529, 45.8388551), (9.0334223, 45.8388172), (9.0333973, 45.8387712), (9.0333753, 45.8387236), (9.0333636, 45.8386774), (9.0333581, 45.8385872)];40;97;97;97;97
[(9.0333581, 45.8385872), (9.0333646, 45.8384237)];40;97;97;97;97
[(9.0125713, 45.8455824), (9.0125699, 45.8454542), (9.0125794, 45.8453812), (9.0125877, 45.8453175), (9.012622, 45.8452562), (9.0126351, 45.8452196), (9.0126443, 45.8451877), (9.01265, 45.8451555), (9.0126547, 45.8451176), (9.0126559, 45.845077), (9.0126556, 45.8450306), (9.0126519, 45.8449833), (9.0126492, 45.8449486), (9.0126393, 45.8449105), (9.0126287, 45.8448751), (9.0126157, 45.844838), (9.0125998, 45.8447995), (9.0125878, 45.8447677), (9.012567, 45.8447282), (9.0125451, 45.8446869), (9.0125233, 45.8446551), (9.0125008, 45.844623), (9.0124668, 45.8445829), (9.0124315, 45.8445434), (9.0123959, 45.8445092), (9.0123528, 45.8444727), (9.0123113, 45.8444421), (9.0122704, 45.8444163), (9.0122369, 45.8443949), (9.0122016, 45.8443759), (9.0121379, 45.8443453), (9.012067, 45.8443151), (9.0120048, 45.844291), (9.0119323, 45.8442704), (9.0118317, 45.8442447), (9.0111592, 45.8441023)];40;53;53;53;53
[(8.9282037, 46.0730609), (8.9274725, 46.0733931), (8.9272808, 46.0734888), (8.9271295, 46.0735688), (8.9268723, 46.0737146)];80;111;111;111;111
[(8.9268723, 46.0737146), (8.9266283, 46.0738568), (8.9263916, 46.0740047), (8.926051, 46.0742298), (8.9258386, 46.0743915), (8.9255276, 46.0746334), (8.9249613, 46.0750802), (8.9244242, 46.0755072), (8.9238904, 46.0759277), (8.9228604, 46.07674), (8.9220136, 46.0774159)];80;111;111;111;111
[(9.0437873, 46.2209016), (9.0440874, 46.2207771), (9.0441399, 46.2207566), (9.0441932, 46.2207387), (9.0442623, 46.2207243), (9.0443076, 46.2207215), (9.0443483, 46.2207236), (9.0443667, 46.2207266), (9.0443831, 46.2207293), (9.0444095, 46.2207368), (9.0444188, 46.2207395), (9.0444578, 46.220752)];60;102;102;102;102
[(9.0428315, 46.2212314), (9.0432675, 46.2212861), (9.043645, 46.2213263)];120;102;102;102;102
[(9.03773, 46.2187971), (9.0378635, 46.218978), (9.0379621, 46.2191056), (9.0380724, 46.2192369), (9.0381729, 46.2193457), (9.0382612, 46.2194298), (9.0383546, 46.2195174), (9.0384537, 46.2196039), (9.0385486, 46.2196833)];120;102;102;102;102
[(9.0369882, 46.2191828), (9.0369082, 46.2192023), (9.0368328, 46.2192257), (9.0367681, 46.2192497), (9.0366964, 46.2192834), (9.0366249, 46.219322), (9.0365656, 46.2193582), (9.0365108, 46.2194001), (9.0364644, 46.2194372), (9.0364246, 46.2194768), (9.0363783, 46.2195276), (9.0363345, 46.2195825), (9.0362912, 46.21965), (9.0362488, 46.219722), (9.0358865, 46.2204602)];60;102;102;102;102
[(9.0366951, 46.2176541), (9.0367916, 46.2172708)];120;46;46;46;46
