coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.9659802, 45.9442002), (8.9659887, 45.9443282), (8.9660041, 45.9444683), (8.966031, 45.944633), (8.9660673, 45.9448197), (8.96611, 45.9450191), (8.966193, 45.9453521), (8.9663256, 45.9457883), (8.9664651, 45.9462246), (8.966574, 45.9465818), (8.966679, 45.9469209), (8.9667753, 45.947322), (8.9668367, 45.9476404), (8.9668695, 45.9478794), (8.9668907, 45.9481193), (8.9668919, 45.9483488), (8.9668875, 45.9485886), (8.9668553, 45.9489099), (8.9668288, 45.9490696), (8.9667942, 45.9492305), (8.966758, 45.9493843), (8.9667118, 45.9495412), (8.9666603, 45.949698), (8.9666019, 45.9498514), (8.9665419, 45.9499996), (8.9664722, 45.9501517), (8.9663921, 45.950311), (8.9663217, 45.9504406)];100;104;104;104;104
[(8.9645097, 45.9518845), (8.9644693, 45.9518938), (8.9644364, 45.9519033), (8.9644026, 45.9519178), (8.9643736, 45.9519332), (8.9642127, 45.952033), (8.9640525, 45.9521323), (8.9638387, 45.9522324)];50;101;101;101;101
[(8.9496341, 45.9549184), (8.9492921, 45.9550787), (8.9488238, 45.9552815), (8.9486774, 45.9553444)];50;55;55;55;55
[(8.9468051, 45.9568712), (8.9468112, 45.9566496), (8.9468229, 45.9565565), (8.9468432, 45.9564507), (8.9468748, 45.9563456), (8.9469126, 45.956248), (8.9469805, 45.9561221), (8.9470491, 45.9560238), (8.9471304, 45.9559245), (8.9472251, 45.9558201), (8.9473293, 45.9557218)];60;55;55;55;55
[(8.9775325, 45.9296034), (8.9773709, 45.9299265)];120;101;101;101;101
[(8.9466396, 45.9581874), (8.9461884, 45.958584), (8.9457167, 45.958903), (8.9448193, 45.9594549), (8.944178, 45.9597595), (8.943227, 45.9601492), (8.9416917, 45.9606674), (8.9400317, 45.9609741), (8.9344471, 45.9615664), (8.9314714, 45.961921), (8.9302285, 45.9621908), (8.9293405, 45.9625889), (8.9285998, 45.9630011), (8.9278464, 45.9635235), (8.9270001, 45.9642453)];100;55;55;55;55
[(8.9306914, 45.9885441), (8.9303049, 45.9888015), (8.9297987, 45.9890799), (8.9291677, 45.9893569), (8.9272007, 45.990133), (8.9265874, 45.9903714), (8.9252459, 45.9908901), (8.9239444, 45.9913128)];100;104;104;104;104
[(8.9290631, 46.0685891), (8.9290765, 46.0697718), (8.9290363, 46.0703036), (8.9289695, 46.070764), (8.9288808, 46.0711248), (8.9286528, 46.0717675)];100;111;111;111;111
[(8.9283633, 46.0718266), (8.9285242, 46.0713965), (8.9286286, 46.0710907), (8.9287149, 46.0707521), (8.9287814, 46.0702868), (8.9288268, 46.0697629), (8.9287827, 46.0685891)];100;111;111;111;111
[(8.9712225, 45.9375889), (8.9719883, 45.9371492), (8.9723055, 45.9369458), (8.9725993, 45.9367265), (8.9729694, 45.9364226), (8.9732662, 45.9361435), (8.9735284, 45.9358608), (8.9736266, 45.9357419), (8.9737487, 45.935602)];120;101;101;101;101
[(8.9773709, 45.9299265), (8.9771963, 45.9302637), (8.976783, 45.9310054), (8.9756101, 45.9329307)];120;101;101;101;101
[(8.969301, 45.9387645), (8.9685369, 45.9392451), (8.9678752, 45.93971), (8.9672066, 45.9403073), (8.9668709, 45.9406334), (8.9666003, 45.9409532), (8.9663922, 45.9412835), (8.9662507, 45.9415883), (8.966148, 45.9419238), (8.9660701, 45.9423138), (8.9660147, 45.9427134), (8.965983, 45.9431161), (8.9659683, 45.9434376), (8.9659627, 45.9437968), (8.9659802, 45.9442002)];100;101;101;101;101
[(8.9656769, 45.9439343), (8.9656497, 45.943525), (8.9656593, 45.9430982), (8.965696, 45.9426705), (8.965757, 45.9422524), (8.9658618, 45.9417905), (8.9659858, 45.9414481), (8.9661382, 45.9411419), (8.966332, 45.9408495), (8.9665965, 45.9405134), (8.9668797, 45.9401894), (8.9673516, 45.9397784), (8.9678241, 45.9394352), (8.9682071, 45.9391893), (8.9686065, 45.9389442)];100;104;104;104;104
[(9.0312366, 46.2100373), (9.0305223, 46.2099186), (9.0301335, 46.2098605), (9.0298862, 46.20983)];60;110;110;110;110
[(8.9285675, 46.0399796), (8.9286141, 46.0398442), (8.9286532, 46.0397121), (8.9286891, 46.0395786), (8.9287183, 46.0394438), (8.9287424, 46.0393133), (8.9287627, 46.0391785), (8.9287773, 46.0390434), (8.9287862, 46.0389103), (8.9287924, 46.0387437), (8.9287922, 46.0385779), (8.9287836, 46.0384144), (8.9287531, 46.0381395), (8.9287116, 46.0379368), (8.9286695, 46.0377632), (8.9286267, 46.0376169), (8.9285739, 46.0374559), (8.928519, 46.0373047), (8.9284555, 46.0371464), (8.9283846, 46.0369821), (8.928319, 46.0368391), (8.9282405, 46.0366733), (8.928162, 46.0365172), (8.9280902, 46.0363736), (8.9279252, 46.0360541), (8.9277762, 46.0357629)];120;76;76;76;76
[(8.9276501, 46.0315832), (8.927921, 46.031096), (8.9280922, 46.0307998), (8.9281867, 46.0306512), (8.9282907, 46.0304932)];60;76;76;76;76
[(8.8599057, 46.2094444), (8.8598996, 46.2095684), (8.8598809, 46.2096853), (8.8598406, 46.2098468), (8.8597682, 46.210025), (8.8597069, 46.2101239)];80;49;49;49;49
[(8.85961, 46.2102932), (8.8595618, 46.2103728)];80;49;49;49;49
[(8.8578747, 46.2042846), (8.857527, 46.2049215)];80;49;49;49;49
[(8.8583757, 46.2034226), (8.8578747, 46.2042846)];80;49;49;49;49
