coordinates;speed_limit
[(8.9659802, 45.9442002), (8.9659887, 45.9443282), (8.9660041, 45.9444683), (8.966031, 45.944633), (8.9660673, 45.9448197), (8.96611, 45.9450191), (8.966193, 45.9453521), (8.9663256, 45.9457883), (8.9664651, 45.9462246), (8.966574, 45.9465818), (8.966679, 45.9469209), (8.9667753, 45.947322), (8.9668367, 45.9476404), (8.9668695, 45.9478794), (8.9668907, 45.9481193), (8.9668919, 45.9483488), (8.9668875, 45.9485886), (8.9668553, 45.9489099), (8.9668288, 45.9490696), (8.9667942, 45.9492305), (8.966758, 45.9493843), (8.9667118, 45.9495412), (8.9666603, 45.949698), (8.9666019, 45.9498514), (8.9665419, 45.9499996), (8.9664722, 45.9501517), (8.9663921, 45.950311), (8.9663217, 45.9504406)];100
[(8.9645097, 45.9518845), (8.9644693, 45.9518938), (8.9644364, 45.9519033), (8.9644026, 45.9519178), (8.9643736, 45.9519332), (8.9642127, 45.952033), (8.9640525, 45.9521323), (8.9638387, 45.9522324)];50
[(8.9496341, 45.9549184), (8.9492921, 45.9550787), (8.9488238, 45.9552815), (8.9486774, 45.9553444)];50
[(8.9468051, 45.9568712), (8.9468112, 45.9566496), (8.9468229, 45.9565565), (8.9468432, 45.9564507), (8.9468748, 45.9563456), (8.9469126, 45.956248), (8.9469805, 45.9561221), (8.9470491, 45.9560238), (8.9471304, 45.9559245), (8.9472251, 45.9558201), (8.9473293, 45.9557218)];60
[(8.9775325, 45.9296034), (8.9773709, 45.9299265)];120
[(8.9466396, 45.9581874), (8.9461884, 45.958584), (8.9457167, 45.958903), (8.9448193, 45.9594549), (8.944178, 45.9597595), (8.943227, 45.9601492), (8.9416917, 45.9606674), (8.9400317, 45.9609741), (8.9344471, 45.9615664), (8.9314714, 45.961921), (8.9302285, 45.9621908), (8.9293405, 45.9625889), (8.9285998, 45.9630011), (8.9278464, 45.9635235), (8.9270001, 45.9642453)];100
[(8.9306914, 45.9885441), (8.9303049, 45.9888015), (8.9297987, 45.9890799), (8.9291677, 45.9893569), (8.9272007, 45.990133), (8.9265874, 45.9903714), (8.9252459, 45.9908901), (8.9239444, 45.9913128)];100
[(8.9290631, 46.0685891), (8.9290765, 46.0697718), (8.9290363, 46.0703036), (8.9289695, 46.070764), (8.9288808, 46.0711248), (8.9286528, 46.0717675)];100
[(8.9283633, 46.0718266), (8.9285242, 46.0713965), (8.9286286, 46.0710907), (8.9287149, 46.0707521), (8.9287814, 46.0702868), (8.9288268, 46.0697629), (8.9287827, 46.0685891)];100
[(8.9712225, 45.9375889), (8.9719883, 45.9371492), (8.9723055, 45.9369458), (8.9725993, 45.9367265), (8.9729694, 45.9364226), (8.9732662, 45.9361435), (8.9735284, 45.9358608), (8.9736266, 45.9357419), (8.9737487, 45.935602)];120
[(8.9773709, 45.9299265), (8.9771963, 45.9302637), (8.976783, 45.9310054), (8.9756101, 45.9329307)];120
[(8.969301, 45.9387645), (8.9685369, 45.9392451), (8.9678752, 45.93971), (8.9672066, 45.9403073), (8.9668709, 45.9406334), (8.9666003, 45.9409532), (8.9663922, 45.9412835), (8.9662507, 45.9415883), (8.966148, 45.9419238), (8.9660701, 45.9423138), (8.9660147, 45.9427134), (8.965983, 45.9431161), (8.9659683, 45.9434376), (8.9659627, 45.9437968), (8.9659802, 45.9442002)];100
[(8.9656769, 45.9439343), (8.9656497, 45.943525), (8.9656593, 45.9430982), (8.965696, 45.9426705), (8.965757, 45.9422524), (8.9658618, 45.9417905), (8.9659858, 45.9414481), (8.9661382, 45.9411419), (8.966332, 45.9408495), (8.9665965, 45.9405134), (8.9668797, 45.9401894), (8.9673516, 45.9397784), (8.9678241, 45.9394352), (8.9682071, 45.9391893), (8.9686065, 45.9389442)];100
[(9.0312366, 46.2100373), (9.0305223, 46.2099186), (9.0301335, 46.2098605), (9.0298862, 46.20983)];60
[(8.9285675, 46.0399796), (8.9286141, 46.0398442), (8.9286532, 46.0397121), (8.9286891, 46.0395786), (8.9287183, 46.0394438), (8.9287424, 46.0393133), (8.9287627, 46.0391785), (8.9287773, 46.0390434), (8.9287862, 46.0389103), (8.9287924, 46.0387437), (8.9287922, 46.0385779), (8.9287836, 46.0384144), (8.9287531, 46.0381395), (8.9287116, 46.0379368), (8.9286695, 46.0377632), (8.9286267, 46.0376169), (8.9285739, 46.0374559), (8.928519, 46.0373047), (8.9284555, 46.0371464), (8.9283846, 46.0369821), (8.928319, 46.0368391), (8.9282405, 46.0366733), (8.928162, 46.0365172), (8.9280902, 46.0363736), (8.9279252, 46.0360541), (8.9277762, 46.0357629)];120
[(8.9276501, 46.0315832), (8.927921, 46.031096), (8.9280922, 46.0307998), (8.9281867, 46.0306512), (8.9282907, 46.0304932)];60
[(8.8599057, 46.2094444), (8.8598996, 46.2095684), (8.8598809, 46.2096853), (8.8598406, 46.2098468), (8.8597682, 46.210025), (8.8597069, 46.2101239)];80
[(8.85961, 46.2102932), (8.8595618, 46.2103728)];80
[(8.8578747, 46.2042846), (8.857527, 46.2049215)];80
[(8.8583757, 46.2034226), (8.8578747, 46.2042846)];80
[(8.8584499, 46.1816081), (8.8584855, 46.1816469), (8.8585001, 46.1816697), (8.8585048, 46.1816866), (8.8585048, 46.1817064), (8.8584976, 46.1817343), (8.8584877, 46.1817527), (8.8584736, 46.1817696), (8.8584528, 46.1817854), (8.8584232, 46.1818009), (8.858387, 46.1818138), (8.8583343, 46.1818276), (8.8582534, 46.1818451), (8.8582091, 46.1818564), (8.8581739, 46.1818689), (8.8581328, 46.1818881), (8.8580656, 46.181927), (8.8579562, 46.1819993), (8.8578793, 46.1820478), (8.8578112, 46.1820846), (8.8576606, 46.1821448), (8.8573562, 46.1822603), (8.8572375, 46.1822994), (8.8571061, 46.18233), (8.856925, 46.1823601), (8.8567098, 46.1823917), (8.8565676, 46.1824102), (8.8564792, 46.1824271), (8.8564262, 46.1824451), (8.8563805, 46.1824827), (8.8563652, 46.1825107), (8.856358, 46.1825646), (8.8563605, 46.1826164), (8.8563899, 46.1827441), (8.856416, 46.1828833), (8.8564402, 46.1830073), (8.8564436, 46.183065), (8.8564335, 46.1831067), (8.8564073, 46.1831744)];50
[(9.0148303, 46.1892442), (9.0142451, 46.189402)];50
[(8.8858031, 46.1738384), (8.885747, 46.1738325), (8.8856965, 46.1738147), (8.8856565, 46.1737869), (8.8856311, 46.1737517), (8.8856229, 46.1737129), (8.8856328, 46.1736738), (8.8856602, 46.1736389), (8.885702, 46.1736117), (8.8857542, 46.1735952), (8.8858112, 46.1735909)];60
[(8.8858031, 46.1738384), (8.8858031, 46.1738417), (8.8858075, 46.1743222)];60
[(8.8857132, 46.168769), (8.8856479, 46.1686582), (8.8855717, 46.168572), (8.8854984, 46.1685018), (8.8854086, 46.1684506)];60
[(8.8854086, 46.1684506), (8.8853634, 46.1684514), (8.88532, 46.1684506), (8.8852727, 46.1684436), (8.8852272, 46.1684345), (8.8851762, 46.1684172), (8.8851312, 46.1683973), (8.8850863, 46.1683712), (8.8850499, 46.1683413), (8.8850255, 46.1683131), (8.8850082, 46.168291), (8.8849918, 46.1682589), (8.8849793, 46.1682232), (8.8849753, 46.1681876), (8.8849789, 46.1681494), (8.8849897, 46.1681095), (8.8850157, 46.1680625), (8.8850407, 46.1680316), (8.8850692, 46.1680043), (8.885103, 46.1679813), (8.8851342, 46.167963), (8.885184, 46.167942), (8.8852376, 46.167926), (8.8852857, 46.1679175), (8.8853334, 46.1679126), (8.8853738, 46.1679122), (8.885427, 46.1679145), (8.8854838, 46.1679239), (8.8855401, 46.1679402), (8.8855841, 46.1679598), (8.8856216, 46.1679786), (8.8856643, 46.1680086), (8.8856931, 46.1680387), (8.885718, 46.1680687), (8.8857343, 46.1680977), (8.8857472, 46.1681353), (8.8857519, 46.1681666), (8.8857507, 46.1682003), (8.8857463, 46.1682307), (8.8857303, 46.1682711), (8.88571, 46.1683044), (8.8856867, 46.1683323), (8.8856644, 46.1683527), (8.8856438, 46.1683685), (8.8856168, 46.1683864), (8.8855804, 46.1684053), (8.885546, 46.1684197), (8.8855015, 46.1684341), (8.8854557, 46.168444), (8.8854086, 46.1684506)];60
[(8.8881038, 46.1597886), (8.8880726, 46.1598545)];80
[(8.8895498, 46.1568792), (8.8881038, 46.1597886)];80
[(8.8891601, 46.1529056), (8.889262, 46.1528981), (8.8901528, 46.1528319), (8.8905932, 46.1528002), (8.8907193, 46.1527936), (8.8908486, 46.1527898), (8.8910241, 46.1527881), (8.8911868, 46.15279), (8.8915644, 46.1528106)];60
[(8.8561757, 46.1486001), (8.8562222, 46.1486013), (8.8562516, 46.1486009), (8.8562721, 46.1485994), (8.8563302, 46.1485924), (8.8563897, 46.1485823), (8.8565538, 46.1485456), (8.8569092, 46.1484437), (8.8573928, 46.1482987), (8.8575457, 46.148264), (8.8576918, 46.1482399), (8.8578729, 46.148226), (8.8580154, 46.1482194), (8.8581951, 46.1482287), (8.8584382, 46.1482584), (8.8592143, 46.1484697), (8.8594128, 46.1485187), (8.8594857, 46.1485307), (8.8596254, 46.1485538), (8.859805, 46.1485668), (8.8599709, 46.1485734), (8.860382, 46.1485393)];50
[(8.8477328, 46.1449571), (8.8479652, 46.1450398), (8.8481961, 46.1451258), (8.8489445, 46.1454102), (8.8493093, 46.1455459), (8.8497045, 46.1456751), (8.8510256, 46.1460356), (8.8518444, 46.146268), (8.8518642, 46.1462736), (8.8527483, 46.1465395), (8.8539599, 46.1469124), (8.8541311, 46.1469704), (8.8541971, 46.1469991), (8.8542709, 46.1470345), (8.8543458, 46.1470747), (8.8543992, 46.1471096), (8.8544487, 46.1471445), (8.8545014, 46.1471869), (8.8545531, 46.1472325), (8.8545925, 46.1472711), (8.8546265, 46.1473115), (8.8546717, 46.1473726), (8.8548973, 46.1477313), (8.8549239, 46.1477686), (8.8549536, 46.1478014), (8.8550171, 46.1478622), (8.8551403, 46.1479669), (8.855298, 46.1480923), (8.8554372, 46.1481994), (8.8556483, 46.1483537), (8.8558032, 46.1484602), (8.8558674, 46.1484994), (8.8559296, 46.1485337), (8.855983, 46.1485573), (8.8560408, 46.1485767)];50
[(8.8306935, 46.1405301), (8.8308523, 46.1405519), (8.8308763, 46.1405546), (8.8311693, 46.1405878)];60
[(8.763281, 46.1069987), (8.7634819, 46.1071444), (8.7636762, 46.107294), (8.7638342, 46.1074259), (8.763958, 46.1075365), (8.7640791, 46.107648), (8.7642024, 46.107771), (8.7643464, 46.1079266), (8.764624, 46.1082408), (8.7647021, 46.108329), (8.7648284, 46.108472), (8.7649343, 46.1085913), (8.7649929, 46.1086524), (8.765086, 46.1087485), (8.7651584, 46.10882), (8.7652094, 46.1088682), (8.7652751, 46.1089247), (8.7653417, 46.1089774), (8.765409, 46.1090331), (8.7654711, 46.1090819), (8.7655619, 46.1091445), (8.765661, 46.1092111), (8.7657621, 46.1092707), (8.7658858, 46.1093429), (8.76599, 46.1093978), (8.7661057, 46.1094536), (8.7662113, 46.109503), (8.766406, 46.1095892), (8.7667972, 46.1097538), (8.7670856, 46.1098811), (8.7674712, 46.1100804), (8.7677535, 46.1102425), (8.7680635, 46.1104396)];50
[(8.8850255, 46.1683131), (8.8849365, 46.1682882), (8.8848514, 46.168264), (8.8847673, 46.1682485), (8.8846901, 46.1682371), (8.8845972, 46.1682272), (8.8844808, 46.1682207), (8.8842966, 46.168219), (8.8840949, 46.1682234), (8.8835442, 46.1682354), (8.8827574, 46.1682477), (8.881399, 46.168265), (8.876372, 46.1683241), (8.875895, 46.1683294)];100
[(8.8689349, 46.1686224), (8.8692574, 46.1685701), (8.8695544, 46.168527), (8.8698266, 46.1684909), (8.8700681, 46.1684599), (8.8703705, 46.1684252), (8.8706248, 46.1684013), (8.8709207, 46.1683755), (8.8712007, 46.1683554), (8.8714781, 46.1683387), (8.8717419, 46.1683257), (8.8719873, 46.1683155), (8.8728704, 46.1682942), (8.8754667, 46.1682641)];100
[(8.8606062, 46.1716952), (8.8597808, 46.1721277)];100
[(8.8587457, 46.1725308), (8.8588875, 46.1724606)];100
[(8.8597413, 46.1709018), (8.8584559, 46.1709186)];50
[(8.8607988, 46.1709251), (8.8607123, 46.1709023), (8.8606111, 46.1708925), (8.8604278, 46.1708881), (8.8599223, 46.1708995), (8.8597413, 46.1709018)];50
[(8.861764, 46.1713143), (8.8617405, 46.1713161), (8.8617136, 46.1713166), (8.8616819, 46.1713142), (8.8616468, 46.1713062), (8.8616067, 46.1712922), (8.8615592, 46.1712715)];50
[(8.8584613, 46.1727915), (8.8579725, 46.1730235), (8.857541, 46.1732176), (8.857116, 46.1733979), (8.856744, 46.1735495), (8.8563009, 46.1737198)];100
[(8.8404761, 46.1796463), (8.8348169, 46.1821702), (8.8322098, 46.1828499), (8.8165671, 46.1856409), (8.8122112, 46.1856261), (8.8090757, 46.185341), (8.8075898, 46.1850588), (8.8060261, 46.184693), (8.8050068, 46.1843476), (8.8041431, 46.1839891), (8.8035745, 46.1836939), (8.7976927, 46.1799724), (8.7930442, 46.1757638), (8.7927491, 46.1753849), (8.7917674, 46.1735304), (8.791668, 46.1733008), (8.7896378, 46.1686119), (8.7890048, 46.1676311), (8.7872857, 46.1657623)];80
[(8.7792263, 46.1612947), (8.7786686, 46.1612629), (8.7781162, 46.1612552), (8.7773337, 46.1613152), (8.7767869, 46.1614108), (8.7755885, 46.1616682), (8.7754945, 46.1616899), (8.7754353, 46.1617062), (8.7753581, 46.1617323), (8.775298, 46.1617557)];60
[(8.7729701, 46.1657444), (8.772973, 46.165696), (8.7729988, 46.1656509), (8.7730344, 46.1656205), (8.7730806, 46.1655977), (8.7731338, 46.1655843), (8.7731926, 46.1655815), (8.7732502, 46.1655901), (8.7733021, 46.1656094), (8.7733349, 46.1656303), (8.7733606, 46.1656555), (8.773378, 46.1656839), (8.7733864, 46.1657142), (8.7733853, 46.165745), (8.7733749, 46.165775), (8.7733481, 46.1658104), (8.7733084, 46.1658394), (8.7732587, 46.1658598), (8.7732005, 46.1658702), (8.7731404, 46.1658687), (8.7730877, 46.165857), (8.7730413, 46.165836), (8.7730045, 46.1658074), (8.772982, 46.1657773), (8.7729701, 46.1657444)];50
[(8.7781379, 46.1697761), (8.7781073, 46.1697288), (8.7779851, 46.1695916), (8.777952, 46.1695493)];50
[(8.7532109, 46.1859171), (8.7531861, 46.1859153), (8.7531547, 46.1859096), (8.7531167, 46.1858994), (8.7528768, 46.1858182), (8.7527816, 46.1857712), (8.7527335, 46.1857421), (8.7527201, 46.1857331), (8.7526955, 46.1857139), (8.7526723, 46.1856889), (8.7526482, 46.1856569), (8.7526302, 46.185621), (8.7526201, 46.1855877), (8.7526161, 46.1855566), (8.7526157, 46.1855233), (8.7526224, 46.1854758), (8.7526351, 46.1854393), (8.7526547, 46.1854056), (8.7526782, 46.1853761), (8.7527184, 46.1853424), (8.7527879, 46.1852921), (8.7529712, 46.185162), (8.7530823, 46.1850706), (8.7532304, 46.1849333), (8.7533594, 46.1847265), (8.7534813, 46.184581), (8.7536677, 46.1844354), (8.7539998, 46.1842948), (8.7541789, 46.1842187), (8.7547093, 46.1838912), (8.7549124, 46.1837407), (8.755266, 46.183347), (8.7561214, 46.1825298), (8.7563388, 46.1823627), (8.756592, 46.1822205), (8.7572634, 46.1819972), (8.7574211, 46.1819128), (8.7582238, 46.1812974), (8.758404, 46.1811353), (8.7591962, 46.1802734), (8.7593515, 46.1801328), (8.7595068, 46.1800419), (8.7601041, 46.1797904), (8.7604697, 46.1796117), (8.7609595, 46.1793371), (8.7612438, 46.1791287), (8.761736, 46.1786407), (8.7623246, 46.1779592), (8.7624796, 46.1777982), (8.7632268, 46.177304), (8.7635278, 46.1770658), (8.7638697, 46.1766918), (8.7643449, 46.1760946)];60
[(8.7911438, 46.1668159), (8.7913041, 46.1667981), (8.7914793, 46.1668033), (8.7915271, 46.1668084), (8.7915921, 46.1668168), (8.7917565, 46.1668568), (8.7918295, 46.1668746), (8.7921881, 46.16703), (8.7924055, 46.1671165)];50
[(8.7847108, 46.1632466), (8.7848325, 46.1632802), (8.7865515, 46.1639724), (8.7870411, 46.1641721), (8.7874902, 46.1643587), (8.7888499, 46.1649358), (8.7890289, 46.1649955)];80
[(8.8014789, 46.1684302), (8.801448, 46.1684002), (8.801411, 46.1683795), (8.8013664, 46.1683656), (8.8013172, 46.1683559), (8.8012797, 46.1683489), (8.800742, 46.1682492)];50
[(8.7941581, 46.1666458), (8.7941803, 46.1667087), (8.7941929, 46.1667785), (8.7941956, 46.1668425)];50
[(8.8010728, 46.1690763), (8.800865, 46.1695199), (8.8007706, 46.1697499), (8.800704, 46.1699222), (8.8006568, 46.170082), (8.8006429, 46.1701482), (8.8005927, 46.1702804)];50
[(8.8130317, 46.1764501), (8.8128577, 46.176343), (8.8128289, 46.1763263), (8.8125657, 46.1761799), (8.8124734, 46.1761318), (8.8123903, 46.1760886), (8.8122124, 46.1760067), (8.8119783, 46.1759176), (8.811889, 46.1758845), (8.8118666, 46.1758762), (8.8116949, 46.175812), (8.811433, 46.175714), (8.8114023, 46.175702), (8.811368, 46.1756887), (8.8108894, 46.1755019), (8.8107488, 46.1754471), (8.8105213, 46.1753681), (8.8099363, 46.175154), (8.8094147, 46.1749661), (8.8090564, 46.1748596), (8.8086028, 46.1747343), (8.8084544, 46.1747005), (8.8080297, 46.1746243), (8.807915, 46.1745964), (8.8066138, 46.174384), (8.8064769, 46.1743617), (8.8063288, 46.174341)];50
[(8.8014096, 46.1735224), (8.8013516, 46.1735121), (8.8013361, 46.1735094), (8.8009719, 46.1734448), (8.8009106, 46.1734345), (8.7999592, 46.173278), (8.7994183, 46.1731853), (8.7993066, 46.1731657), (8.7992077, 46.1731357)];50
[(8.7992077, 46.1731357), (8.7991534, 46.1731039), (8.7990964, 46.1730538), (8.7980843, 46.1718795)];30
[(8.6062594, 46.3448594), (8.6060265, 46.3451059), (8.6060113, 46.3451356), (8.6060039, 46.3451627), (8.6060088, 46.3451884), (8.60603, 46.3452112), (8.6060602, 46.3452278), (8.6060976, 46.3452367), (8.606135, 46.3452389), (8.6061686, 46.3452348), (8.606204, 46.3452248), (8.606237, 46.3452028), (8.6062905, 46.3451595), (8.60643, 46.3450442), (8.606608, 46.3448789), (8.6066863, 46.3448238), (8.6067464, 46.3447928)];50
[(8.9183089, 46.1302201), (8.9182708, 46.1301726), (8.91823, 46.1301363), (8.9181861, 46.1301021), (8.9181439, 46.1300743), (8.9180982, 46.1300507), (8.9180449, 46.1300287), (8.9179884, 46.1300105), (8.9179307, 46.1299974), (8.9178601, 46.1299876), (8.9177954, 46.1299831), (8.9177337, 46.1299836), (8.9176662, 46.1299894), (8.9175904, 46.1300023), (8.9175275, 46.1300191), (8.9174676, 46.1300407), (8.9174156, 46.1300642), (8.9173672, 46.1300925), (8.9173284, 46.1301192), (8.9172908, 46.1301539), (8.9172654, 46.1301799), (8.9172369, 46.1302158), (8.9172156, 46.1302517), (8.9171995, 46.1302863), (8.9171869, 46.1303254), (8.9171811, 46.1303671), (8.9171802, 46.1304101), (8.9171856, 46.130454), (8.9171948, 46.130495), (8.9172124, 46.1305401), (8.9172331, 46.1305851), (8.9172587, 46.1306256)];40
[(8.7339129, 46.1761933), (8.7338605, 46.1761918), (8.7336782, 46.1761867), (8.7334462, 46.1761811), (8.7331606, 46.1761978), (8.7321312, 46.1763398), (8.7290612, 46.1767602), (8.7277185, 46.1769417), (8.7275945, 46.1769519), (8.7274677, 46.1769554), (8.727014, 46.1769534), (8.7268407, 46.1769729), (8.7260038, 46.1771193), (8.7259179, 46.1771276), (8.7257768, 46.1771352), (8.7254959, 46.1771349), (8.7246484, 46.177111), (8.723987, 46.1771056), (8.7237045, 46.1771076), (8.7235326, 46.1771105), (8.7230514, 46.1771437), (8.7225773, 46.1771802), (8.7222434, 46.1771963), (8.72146, 46.1772124), (8.7213234, 46.17721), (8.7211964, 46.1771976), (8.7210777, 46.1771702), (8.7205146, 46.1770022), (8.7204471, 46.1769874), (8.7203861, 46.1769769)];80
[(8.733949, 46.176132), (8.7339863, 46.1761106), (8.7340314, 46.1760985), (8.7340798, 46.1760971), (8.7341263, 46.1761066), (8.734166, 46.1761258), (8.7341946, 46.1761529), (8.7342097, 46.1761874), (8.7342067, 46.1762234), (8.734186, 46.1762566), (8.7341501, 46.1762827), (8.7341033, 46.1762987), (8.7340682, 46.1763027), (8.7340327, 46.1763008), (8.7339988, 46.1762932), (8.7339686, 46.1762802), (8.7339436, 46.1762626), (8.7339254, 46.1762414), (8.733915, 46.1762179), (8.7339129, 46.1761933), (8.7339237, 46.1761606), (8.733949, 46.176132)];80
[(8.7751942, 46.1609832), (8.7751689, 46.161124), (8.7751242, 46.1615133)];50
[(8.7693734, 46.1568298), (8.7693795, 46.1568061), (8.7693966, 46.1567851), (8.7695181, 46.1566983), (8.7704872, 46.1559987)];50
[(8.77193, 46.1557429), (8.7723439, 46.1560576), (8.7724066, 46.1561019), (8.7725181, 46.1561779), (8.7727452, 46.1563447), (8.7728, 46.1563884), (8.7733882, 46.1568244), (8.7735733, 46.1569944), (8.7737999, 46.1572022), (8.7738849, 46.1572989), (8.7741646, 46.1576361), (8.7747563, 46.1585327), (8.7749747, 46.1589139), (8.775072, 46.159111), (8.775192, 46.1594931), (8.775248, 46.1598227), (8.7752785, 46.1600408), (8.7752816, 46.1600974), (8.7752823, 46.1601533), (8.7752786, 46.160211)];50
[(8.7046046, 46.1121332), (8.7047854, 46.1122117)];60
