coordinates;description;startTime;endTime
[-118.4771902064, 34.0966339776];Accident;2024-10-03T15:12:00Z;None
[-118.2804635862, 34.2971304727];Accident;2024-10-03T15:40:00Z;None
[-118.1887052157, 34.0519899314];Accident;2024-10-03T15:25:00Z;None
