coordinates;description;startTime;endTime
[9.0100536842, 46.195550457];Accident;2024-10-06T11:14:00Z;nan
[9.0074479182, 46.1916304059];Accident;2024-10-06T11:14:00Z;nan
[9.0120586355, 46.1982326316];Accident;2024-10-06T11:14:00Z;nan
[9.0083022018, 46.1929420138];Accident;2024-10-06T11:14:00Z;None
