coordinates;color;speed_limit;current_speed
[(8.7112322, 45.9816833), (8.7114405, 45.9819609)];green;50;54.0
[(8.7114405, 45.9819609), (8.71176, 45.9823888), (8.7123431, 45.9835818), (8.712516, 45.9839333), (8.7125646, 45.9841181), (8.7125472, 45.9844317), (8.7124975, 45.9848313), (8.712512, 45.9852268), (8.7124653, 45.9856178), (8.7121483, 45.9863853), (8.7121437, 45.986529), (8.7121804, 45.9867319), (8.7122493, 45.9871133), (8.7122751, 45.9874363), (8.712299, 45.987642), (8.7123302, 45.9877431), (8.7123957, 45.9878717), (8.7125075, 45.9880048), (8.7126701, 45.9881355), (8.7127081, 45.9881623), (8.71281, 45.9882154), (8.7129084, 45.9882556), (8.7136066, 45.9885248), (8.7144972, 45.9888681), (8.715571, 45.9892866), (8.7167766, 45.9897443), (8.7169102, 45.989795), (8.7172168, 45.9899115), (8.717798, 45.9901674), (8.71824, 45.9904058)];green;50;54.0
[(8.7088922, 45.978371), (8.7093008, 45.9785686), (8.7098707, 45.9788449), (8.71002, 45.9789194), (8.7101523, 45.9790504), (8.7102552, 45.9792262), (8.7102843, 45.9792759), (8.7103973, 45.979469), (8.7104235, 45.9795137), (8.7108043, 45.9801644), (8.7110334, 45.980637), (8.7110843, 45.9807419), (8.7112083, 45.9810277), (8.7111953, 45.9815517), (8.7112322, 45.9816833)];green;50;54.0
[(8.7087706, 45.978315), (8.7088922, 45.978371)];green;50;54.0
[(8.7064741, 45.9764647), (8.7066159, 45.9765806), (8.70664, 45.9766003), (8.7070689, 45.9769147), (8.7075167, 45.977214), (8.7078766, 45.977554), (8.7079207, 45.9775956), (8.7082925, 45.9780015), (8.7083617, 45.9780605), (8.7085138, 45.9781657), (8.7086366, 45.9782402), (8.7087604, 45.9783081), (8.7087706, 45.978315)];green;50;54.0
[(8.7249328, 45.9957743), (8.7247834, 45.995812), (8.7246504, 45.9958174), (8.7244783, 45.9958256), (8.7243366, 45.9957857), (8.7242609, 45.9957453), (8.7235002, 45.9953267), (8.7234583, 45.9953007), (8.7227755, 45.9949139), (8.7221697, 45.9945709), (8.7221039, 45.9945352), (8.720843, 45.9938512), (8.7204954, 45.9936341), (8.7201334, 45.9933362), (8.7198603, 45.9929158), (8.7195716, 45.992401), (8.7192258, 45.9917844), (8.7191435, 45.9916359), (8.7187408, 45.9909093), (8.7185498, 45.990688), (8.71824, 45.9904058)];green;50;54.0
